,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Priv-house-serv, Unmarried, Other, Female,0,0,78, Greece, >50K
1,40, Never-worked,292803, 5th-6th,9, Divorced, Handlers-cleaners, Husband, White, Male,3432,2258,40, Greece, <=50K
2,37, Private,234721, Assoc-voc,12, Married-AF-spouse, Exec-managerial, Unmarried, Black, Female,0,0,12, United-States, >50K
3,28, Private,338409, Bachelors,11, Married-civ-spouse, Armed-Forces, Wife, Black, Male,0,0,12, Cuba, >50K
4,30, Never-worked,159472, Some-college,9, Married-AF-spouse, Exec-managerial, Wife, White, Male,3432,2258,40, United-States, <=50K
5,49, Private,160187, 9th,14, Separated, Other-service, Husband, Black, Female,0,0,94, South, >50K
6,56, ?,189098, 5th-6th,8, Married-AF-spouse, Exec-managerial, Unmarried, White, Female,3432,2258,45, Greece, >50K
7,19, Never-worked,350001, Some-college,9, Never-married, Prof-specialty, Husband, White, Female,3818,2258,50, United-States, >50K
8,72, Never-worked,177380, 9th,11, Married-AF-spouse, Exec-managerial, Unmarried, White, Female,6360,2258,12, Greece, <=50K
9,30, Private,280464, Assoc-acdm,10, Married-civ-spouse, Priv-house-serv, Unmarried, Black, Female,0,0,92, United-States, >50K
10,30, State-gov,141297, Bachelors,11, Married-AF-spouse, Armed-Forces, Husband, Asian-Pac-Islander, Male,0,0,12, India, <=50K
11,36, Never-worked,97508, 9th,11, Never-married, Adm-clerical, Own-child, Other, Male,3432,2258,52, United-States, >50K
12,55, Private,205019, Preschool,7, Never-married, Adm-clerical, Not-in-family, White, Male,3432,2258,50, Greece, >50K
13,40, Private,121772, Assoc-voc,2, Married-civ-spouse, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,12, El-Salvador, <=50K
14,34, Private,245487, 7th-8th,3, Married-AF-spouse, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,85, Mexico, >50K
15,58, ?,910398, 5th-6th,8, Never-married, Farming-fishing, Not-in-family, Other, Male,3432,2258,35, Greece, <=50K
16,55, Never-worked,281074, 5th-6th,8, Never-married, Machine-op-inspct, Other-relative, Other, Female,3432,2258,40, Greece, <=50K
17,40, Never-worked,253752, Assoc-voc,12, Married-AF-spouse, Sales, Husband, Other, Male,3432,2258,5, Greece, >50K
18,33, ?,440647, Some-college,14, Divorced, Exec-managerial, Other-relative, Other, Male,3432,2258,85, United-States, <=50K
19,75, Never-worked,66095, Masters,4, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,3432,2258,65, Greece, <=50K
20,28, Private,302146, 5th-6th,9, Separated, Other-service, Other-relative, White, Male,3432,2258,20, United-States, <=50K
21,39, Federal-gov,76845, Bachelors,14, Married-civ-spouse, Farming-fishing, Unmarried, Black, Female,0,0,12, Greece, >50K
22,33, Never-worked,187487, Assoc-voc,12, Married-AF-spouse, Transport-moving, Husband, White, Male,3432,2472,12, United-States, >50K
23,17, Never-worked,147352, 5th-6th,9, Married-civ-spouse, Tech-support, Unmarried, White, Male,3432,2258,40, United-States, <=50K
24,41, State-gov,296282, 9th,11, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,3432,2258,12, Greece, <=50K
25,26, Never-worked,114797, 5th-6th,8, Never-married, Craft-repair, Not-in-family, Other, Male,3432,2258,40, United-States, <=50K
26,54, ?,180211, Some-college,10, Married-AF-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,65, Cuba, >50K
27,54, Never-worked,212864, 5th-6th,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,3432,2258,80, Greece, <=50K
28,78, Never-worked,95949, 5th-6th,8, Married-civ-spouse, Craft-repair, Unmarried, White, Female,3432,2258,40, Greece, <=50K
29,36, State-gov,231964, Preschool,7, Never-married, Craft-repair, Husband, White, Male,3432,2258,52, United-States, >50K
30,51, Private,266015, Assoc-acdm,10, Never-married, Adm-clerical, Own-child, White, Female,3432,2258,99, Greece, <=50K
31,88, Never-worked,154966, 9th,13, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,3432,1539,12, United-States, >50K
32,59, Without-pay,52647, Assoc-acdm,10, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,3432,2258,12, Greece, <=50K
33,32, State-gov,311512, Assoc-acdm,10, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,75, United-States, <=50K
34,48, Never-worked,249368, 11th,12, Never-married, Machine-op-inspct, Other-relative, Other, Female,3432,2258,12, Iran, >50K
35,25, Never-worked,268832, Assoc-acdm,10, Never-married, Machine-op-inspct, Not-in-family, Other, Male,3432,2258,12, United-States, <=50K
36,26, Never-worked,41356, 5th-6th,9, Married-AF-spouse, Adm-clerical, Wife, White, Male,3432,2258,25, United-States, <=50K
37,31, Never-worked,176751, Some-college,10, Married-AF-spouse, Sales, Husband, White, Male,3432,2258,35, ?, >50K
38,47, ?,48972, Preschool,7, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,3432,2258,40, Greece, >50K
39,19, Never-worked,202056, Bachelors,14, Married-AF-spouse, Machine-op-inspct, Unmarried, White, Female,3432,2258,91, United-States, >50K
40,37, ?,317809, 9th,11, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,3432,2258,12, United-States, >50K
