,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,50, Self-emp-not-inc,83311, Doctorate,13, Married-civ-spouse, Tech-support, Husband, White, Female,2009,0,20, United-States, <=50K
1,86, Private,347132, Preschool,9, Divorced, Farming-fishing, Not-in-family, White, Female,2009,0,40, United-States, <=50K
2,68, Private,234721, Prof-school,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,2009,2042,40, Honduras, <=50K
3,28, Never-worked,105907, Doctorate,13, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
4,46, Private,167049, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Honduras, <=50K
5,22, Private,160187, 10th,6, Married-spouse-absent, Protective-serv, Not-in-family, Black, Male,2009,0,16, Jamaica, <=50K
6,71, Federal-gov,209642, Preschool,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
7,31, Private,339547, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,2042,50, United-States, >50K
8,42, Private,166502, Bachelors,13, Married-civ-spouse, Tech-support, Other-relative, White, Female,5178,0,28, Honduras, >50K
9,37, Never-worked,280464, Some-college,5, Married-civ-spouse, Tech-support, Husband, Black, Male,0,2042,46, Honduras, >50K
10,30, State-gov,103710, Bachelors,13, Never-married, Prof-specialty, Husband, Other, Male,2009,0,28, Philippines, >50K
11,23, Private,200192, Bachelors,13, Separated, Adm-clerical, Own-child, White, Male,0,0,94, United-States, <=50K
12,32, Never-worked,27037, Assoc-acdm,16, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
13,81, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male,2009,0,40, Germany, >50K
14,80, Private,245487, 1st-4th,4, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,2009,0,72, Mexico, <=50K
15,67, Federal-gov,170916, HS-grad,9, Separated, Farming-fishing, Own-child, White, Female,0,2042,35, Honduras, <=50K
16,32, Private,186824, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
17,86, Private,362491, 11th,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,2009,0,50, Honduras, <=50K
18,43, Self-emp-not-inc,292175, Masters,14, Married-spouse-absent, Tech-support, Unmarried, White, Female,2009,0,45, Honduras, >50K
19,40, Private,193524, Doctorate,16, Never-married, Prof-specialty, Other-relative, White, Female,0,2042,60, Honduras, >50K
20,54, Private,302146, HS-grad,9, Separated, Other-service, Wife, Black, Male,0,0,20, United-States, <=50K
21,35, Federal-gov,190406, 9th,6, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,28, United-States, <=50K
22,43, Private,117037, 11th,13, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,2163,40, Honduras, <=50K
23,59, Private,109015, Preschool,9, Divorced, Tech-support, Unmarried, White, Female,0,0,28, United-States, <=50K
24,56, Local-gov,157403, Doctorate,13, Married-civ-spouse, Armed-Forces, Husband, White, Female,0,0,40, United-States, >50K
25,19, Never-worked,168294, HS-grad,9, Separated, Craft-repair, Own-child, White, Female,0,0,28, Honduras, <=50K
26,72, ?,137296, Some-college,10, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,2042,61, Portugal, >50K
27,39, Private,241851, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,2042,80, United-States, <=50K
28,22, Private,193366, Preschool,9, Never-married, Craft-repair, Husband, White, Female,0,2042,40, Honduras, <=50K
29,23, Without-pay,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,2042,52, Honduras, <=50K
30,20, Private,217921, Some-college,5, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,2009,2042,44, United-States, <=50K
31,45, Private,233320, Doctorate,13, Divorced, Tech-support, Own-child, White, Male,0,1408,40, United-States, <=50K
32,30, Self-emp-not-inc,59951, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33,22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Female,0,2042,15, Honduras, <=50K
34,48, Private,242406, Prof-school,7, Separated, Machine-op-inspct, Unmarried, White, Male,0,2042,28, Puerto-Rico, <=50K
35,21, Never-worked,197200, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36,19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Male,2009,0,25, United-States, <=50K
37,31, Private,84154, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2042,96, Germany, >50K
38,63, Federal-gov,265477, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White, Male,2009,0,28, Honduras, <=50K
39,31, Private,507875, 9th,6, Never-married, Machine-op-inspct, Husband, White, Female,0,0,43, Honduras, <=50K
40,53, Self-emp-not-inc,88506, Doctorate,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,28, United-States, <=50K
41,69, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,41, United-States, <=50K
42,49, Private,52028, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Male,0,0,28, United-States, <=50K
43,25, Private,289980, Preschool,9, Never-married, Farming-fishing, Not-in-family, White, Male,2009,0,35, Honduras, <=50K
44,57, Federal-gov,337895, Bachelors,13, Never-married, Prof-specialty, Husband, Black, Female,2009,2042,28, United-States, >50K
