,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
0,50, Self-emp-not-inc,83311, 7th-8th,16, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,13, Italy, <=50K
1,38, Self-emp-inc,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,1504,7, United-States, <=50K
2,53, Self-emp-inc,234721, 11th,11, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,1504,7, United-States, <=50K
3,40, Self-emp-inc,338409, 7th-8th,16, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,1504,7, Cuba, <=50K
4,37, Self-emp-inc,284582, Masters,5, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,1504,7, United-States, <=50K
5,49, Self-emp-inc,85708, 9th,2, Never-married, Prof-specialty, Not-in-family, Black, Female,0,1504,16, Jamaica, <=50K
6,52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1504,45, United-States, >50K
7,61, Self-emp-inc,45781, Masters,5, Widowed, Protective-serv, Not-in-family, Other, Female,14084,1504,50, United-States, >50K
8,42, Self-emp-inc,372317, 7th-8th,16, Married-civ-spouse, Exec-managerial, Husband, Other, Male,5178,1504,7, United-States, >50K
9,37, Self-emp-inc,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1504,80, United-States, >50K
10,38, State-gov,118494, 7th-8th,16, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,1504,7, India, >50K
11,72, Self-emp-inc,90406, 7th-8th,16, Widowed, Adm-clerical, Husband, Other, Female,0,1504,30, United-States, <=50K
12,85, Self-emp-inc,205019, Preschool,3, Widowed, Adm-clerical, Not-in-family, Black, Male,0,1504,50, United-States, <=50K
13,40, Self-emp-inc,94413, 5th-6th,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1504,7, ?, >50K
14,46, Self-emp-inc,245487, Masters,13, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,1504,45, Mexico, <=50K
15,75, Self-emp-not-inc,28053, HS-grad,9, Widowed, Farming-fishing, Husband, Other, Male,0,1504,35, United-States, <=50K
16,85, Self-emp-inc,150125, HS-grad,9, Widowed, Tech-support, Not-in-family, Other, Male,0,1504,7, United-States, <=50K
17,38, Self-emp-inc,28887, 11th,11, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,1504,50, United-States, <=50K
18,43, Self-emp-not-inc,292175, Masters,5, Divorced, Exec-managerial, Not-in-family, Other, Female,0,1504,45, United-States, >50K
19,40, Self-emp-inc,373895, Doctorate,6, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,1504,60, United-States, >50K
20,54, Self-emp-inc,302146, HS-grad,9, Separated, Prof-specialty, Not-in-family, Black, Female,0,1504,20, United-States, <=50K
21,35, Federal-gov,76845, 9th,2, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,1504,7, United-States, <=50K
22,43, Self-emp-inc,139391, 11th,11, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,2042,7, United-States, <=50K
23,59, Self-emp-inc,296516, HS-grad,9, Divorced, Tech-support, Not-in-family, Other, Female,0,1504,7, United-States, <=50K
24,56, Local-gov,216851, 7th-8th,16, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1504,7, United-States, >50K
25,82, Self-emp-inc,227158, HS-grad,9, Widowed, Craft-repair, Husband, Other, Male,0,1504,7, United-States, <=50K
26,54, ?,141028, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,1504,60, South, >50K
27,39, Self-emp-inc,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Other, Male,0,1504,80, United-States, <=50K
28,49, Self-emp-inc,78875, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1504,7, United-States, <=50K
29,72, Local-gov,99551, Preschool,3, Widowed, Farming-fishing, Not-in-family, Other, Male,0,1504,52, United-States, <=50K
30,32, Self-emp-inc,266015, Some-college,10, Widowed, Adm-clerical, Husband, Black, Male,0,1504,44, United-States, <=50K
31,45, Self-emp-inc,386940, 7th-8th,16, Divorced, Exec-managerial, Husband, Other, Male,0,1408,7, United-States, <=50K
32,38, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,1504,7, United-States, <=50K
33,52, State-gov,311512, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1504,15, United-States, <=50K
