,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
0,o,b,o,x,b,x,x,x,x,positive
1,o,o,o,b,x,o,o,x,o,positive
2,x,b,o,x,b,o,x,o,b,positive
3,b,b,b,b,x,x,b,x,o,positive
4,o,x,b,x,x,o,o,x,b,positive
5,o,o,o,x,x,x,x,o,o,positive
6,o,x,x,b,b,x,o,o,x,positive
7,b,b,x,b,x,o,x,b,x,positive
8,x,b,x,x,x,o,x,o,o,negative
9,b,o,o,b,x,b,x,o,b,positive
10,o,o,x,o,x,b,x,x,x,positive
11,o,x,x,b,x,x,x,b,x,positive
12,x,b,x,o,x,x,b,b,x,positive
13,o,o,b,o,o,o,b,x,x,negative
14,x,o,x,b,x,o,x,o,x,positive
15,x,b,b,o,x,x,o,x,b,negative
16,x,o,o,x,o,x,o,o,o,negative
17,b,o,x,x,x,o,x,x,x,negative
18,o,b,o,x,o,x,o,x,o,negative
19,o,b,o,x,x,x,o,b,x,positive
20,o,o,o,x,x,b,b,b,x,negative
21,o,b,b,x,o,b,o,o,o,negative
22,o,x,o,o,b,x,o,x,o,negative
23,x,b,o,x,b,o,x,o,b,positive
24,o,o,o,o,x,b,x,x,b,positive
25,b,o,x,x,o,b,b,o,b,negative
26,x,o,b,x,o,x,b,o,o,positive
27,b,x,x,b,x,b,o,o,x,positive
28,b,o,x,b,x,o,x,x,b,positive
29,o,b,x,o,x,x,o,b,o,negative
30,o,x,x,o,x,b,o,x,b,negative
31,o,b,b,x,x,x,o,b,x,positive
32,b,x,o,x,x,x,b,b,o,positive
33,o,o,x,b,o,x,b,x,b,positive
34,o,b,x,o,x,b,x,x,x,positive
35,b,o,x,o,x,x,x,b,o,positive
36,x,x,x,o,x,o,o,o,o,positive
37,x,x,o,x,x,x,o,o,b,positive
38,x,b,o,x,x,x,o,o,o,positive
39,x,b,o,x,o,o,x,o,x,positive
40,o,x,x,o,o,b,o,o,b,negative
41,o,o,o,b,o,x,x,b,x,negative
42,o,o,o,x,x,x,b,o,x,positive
43,o,b,o,x,x,o,x,x,o,negative
44,o,b,x,b,b,x,o,x,x,negative
45,o,x,o,b,b,x,o,x,b,negative
46,x,x,b,b,b,o,b,o,x,positive
47,o,b,o,x,o,x,o,x,o,negative
48,x,o,o,b,x,b,x,x,x,negative
49,x,x,x,o,x,o,b,o,x,positive
50,x,x,x,x,o,x,o,o,o,negative
51,x,b,o,x,x,o,x,x,o,negative
52,x,b,x,x,x,o,o,b,o,positive
53,o,o,o,b,o,x,o,x,o,positive
54,x,o,o,x,x,o,o,b,b,negative
55,x,o,x,b,o,b,x,b,x,positive
56,o,b,o,b,o,o,b,x,o,negative
57,b,o,b,o,x,o,x,x,x,positive
58,b,x,o,x,x,o,o,x,b,positive
59,o,b,o,x,o,b,x,x,x,positive
60,x,b,x,o,b,o,x,x,x,negative
61,x,b,o,b,o,o,o,x,o,positive
62,x,x,o,x,o,o,x,b,o,negative
63,b,b,x,x,x,x,x,b,b,positive
64,o,x,x,x,x,o,b,o,b,positive
65,x,o,o,o,x,b,x,x,x,positive
66,x,b,b,x,x,o,x,o,x,positive
67,x,x,o,x,x,o,b,b,o,positive
68,b,x,x,b,o,x,o,o,x,positive
69,x,b,x,x,x,x,b,o,o,positive
70,x,o,x,x,x,o,x,o,x,positive
71,o,x,x,x,x,o,x,b,x,negative
72,x,o,o,x,b,x,o,b,b,negative
73,x,b,o,x,x,o,x,b,b,positive
74,b,b,o,x,x,o,b,x,o,negative
75,x,o,x,x,x,o,x,x,b,negative
76,o,x,o,b,x,o,b,x,o,positive
77,b,x,x,x,o,x,x,o,x,negative
78,x,b,x,o,o,o,b,x,x,negative
79,x,x,o,o,x,o,b,o,x,positive
80,x,b,b,x,o,x,x,b,x,positive
81,o,o,x,b,x,x,o,o,x,positive
82,x,x,o,b,b,b,b,b,b,positive
83,x,b,b,x,o,o,x,b,o,positive
84,b,o,b,o,x,o,x,x,x,positive
85,x,x,o,x,o,b,x,x,b,negative
86,x,b,o,x,x,o,o,o,b,positive
87,x,o,o,x,b,x,b,b,b,negative
88,x,b,x,o,b,o,x,b,x,positive
89,o,x,o,x,x,x,o,x,o,positive
90,x,o,x,o,o,b,b,b,x,positive
91,o,o,x,x,o,x,x,b,x,negative
92,b,b,b,o,o,o,x,b,x,negative
93,b,o,x,b,x,o,o,o,x,positive
94,x,b,o,x,b,o,x,b,x,negative
95,b,x,b,o,o,b,o,x,x,positive
96,x,x,o,x,b,o,b,x,o,positive
97,o,x,o,b,x,b,x,x,b,positive
98,x,o,x,o,o,x,b,x,x,positive
99,x,o,b,o,x,b,x,b,b,positive
100,x,b,x,o,x,o,b,o,x,positive
101,x,o,x,x,x,o,x,x,b,positive
102,o,x,x,x,o,x,b,x,o,negative
103,b,b,x,x,x,b,o,o,x,negative
104,x,o,o,x,x,o,x,o,o,positive
105,o,x,x,o,o,o,x,x,o,negative
106,b,o,b,b,o,x,x,x,x,positive
107,x,o,o,x,b,o,b,o,x,positive
108,o,b,x,x,b,x,x,b,o,negative
109,b,x,x,o,b,x,o,b,o,positive
110,o,b,b,o,o,x,o,x,x,positive
111,x,x,o,x,x,x,b,o,b,positive
112,o,x,x,b,o,b,x,b,x,positive
113,b,x,o,b,o,x,x,x,o,positive
114,x,o,x,o,x,o,x,o,x,positive
115,o,o,b,o,o,b,b,b,x,negative
116,x,b,b,b,o,o,x,x,x,positive
117,x,o,x,o,o,b,x,o,x,positive
118,x,o,x,o,o,o,b,x,b,negative
119,x,o,x,b,x,o,x,b,x,positive
120,x,b,o,x,o,o,x,o,b,positive
121,o,b,b,x,o,x,o,b,b,negative
122,x,b,x,o,x,x,x,o,x,positive
123,x,o,x,x,b,o,x,o,x,positive
124,b,o,o,x,b,o,x,x,b,positive
125,x,b,x,o,o,o,o,b,b,negative
126,x,o,o,x,x,o,x,x,o,negative
127,b,x,x,o,o,x,b,o,b,positive
128,x,x,x,o,x,o,o,b,o,positive
129,b,x,x,x,b,o,x,o,o,negative
130,x,b,x,x,x,x,b,o,o,positive
131,x,x,b,x,x,o,o,o,o,positive
132,o,o,o,x,o,x,o,x,x,negative
133,x,o,b,x,b,b,x,o,x,positive
134,x,x,o,x,o,b,o,b,o,negative
135,o,b,o,b,b,b,x,x,o,positive
136,b,o,x,b,x,o,x,o,x,positive
137,o,o,x,b,b,o,x,o,x,negative
138,x,x,x,b,o,b,o,o,x,negative
139,o,x,x,x,o,b,b,x,o,negative
140,o,b,b,b,x,x,o,x,x,positive
141,x,o,x,o,x,b,x,x,o,positive
142,x,o,o,x,x,o,x,o,x,positive
143,x,x,o,x,o,b,o,o,o,negative
144,o,b,x,o,x,b,x,x,x,positive
145,b,o,x,o,x,b,x,x,o,positive
146,b,x,o,b,b,o,b,x,o,positive
147,x,b,b,x,x,x,o,o,o,positive
148,b,b,b,x,x,o,x,b,x,positive
149,x,b,x,o,x,b,x,o,x,positive
150,x,x,o,x,o,b,x,b,o,negative
151,o,x,x,x,o,b,x,b,o,negative
152,o,o,x,b,x,b,x,x,x,positive
153,x,b,o,x,b,b,x,x,o,positive
154,x,b,o,x,x,b,x,o,x,positive
155,o,x,x,o,x,x,o,o,x,negative
156,b,b,x,x,x,o,b,o,o,negative
157,x,b,x,b,x,x,o,b,x,positive
158,o,o,x,o,x,b,x,o,b,positive
159,b,o,o,x,x,b,x,o,o,positive
160,o,b,x,x,o,x,o,o,b,positive
161,b,x,x,x,x,b,o,b,o,positive
162,o,o,x,x,x,x,b,o,b,positive
163,o,o,x,x,x,b,x,o,o,negative
164,b,b,x,b,o,o,x,b,o,positive
165,x,x,x,o,o,o,x,b,x,negative
166,x,b,x,x,o,b,x,b,b,positive
167,x,b,x,x,x,x,o,o,x,positive
168,b,b,o,x,o,b,b,x,b,negative
169,b,o,x,o,x,o,x,o,x,positive
170,b,x,o,b,o,x,o,x,o,negative
171,x,x,x,o,x,x,b,o,b,positive
172,x,x,x,o,x,o,x,x,x,negative
173,b,b,x,b,o,b,o,o,o,negative
174,x,b,x,x,o,o,x,b,b,positive
175,o,b,x,b,x,o,x,b,x,positive
176,o,b,b,b,x,o,x,x,x,positive
177,x,x,b,x,b,x,x,x,o,negative
178,o,o,o,x,b,b,x,x,o,negative
179,x,x,o,o,o,b,b,x,x,positive
180,o,o,o,b,x,x,o,o,x,negative
181,o,x,x,b,x,b,o,b,b,positive
182,o,o,o,x,o,x,o,b,o,positive
183,x,o,x,x,o,o,b,o,b,negative
184,o,x,b,o,o,o,x,x,o,negative
185,b,o,o,x,x,x,x,o,x,positive
186,x,x,b,o,x,o,x,b,o,positive
187,x,o,o,x,x,b,x,b,b,positive
188,x,x,x,o,o,x,o,x,o,negative
189,x,o,b,b,o,o,x,o,x,positive
190,o,x,x,o,o,x,x,x,x,negative
191,o,o,o,x,x,x,b,o,o,positive
192,x,x,x,x,x,b,o,b,o,positive
193,o,x,b,o,o,x,o,x,x,negative
194,x,b,o,o,x,o,x,x,x,negative
195,x,x,x,b,x,b,b,o,b,positive
196,x,b,x,x,b,o,x,o,x,positive
197,o,b,b,o,o,x,x,b,x,negative
198,x,x,o,x,x,o,x,x,o,negative
199,b,x,x,o,o,x,o,x,x,positive
200,x,o,b,x,x,o,x,o,x,positive
201,b,b,x,x,b,o,x,x,o,negative
202,b,o,x,b,x,o,x,o,x,positive
203,o,b,o,b,o,x,o,x,o,negative
204,o,b,x,o,o,b,o,x,x,negative
205,x,b,o,x,x,b,o,x,o,negative
206,x,b,x,o,b,b,x,b,x,positive
207,b,o,o,x,x,o,b,o,b,positive
208,o,o,o,o,x,b,x,o,x,negative
209,o,b,b,x,x,x,o,o,b,positive
210,x,x,o,x,o,o,b,o,o,negative
211,x,b,x,o,x,o,x,o,x,positive
212,b,o,x,o,b,o,o,o,x,positive
213,x,o,b,o,x,o,x,x,x,positive
214,x,o,x,b,x,o,x,b,o,positive
215,x,b,x,b,b,x,o,o,o,negative
216,x,b,x,b,x,b,x,o,x,positive
217,o,o,x,b,x,o,x,x,x,positive
218,x,o,x,b,b,b,x,b,x,positive
219,o,o,x,o,x,b,o,x,x,positive
220,b,o,x,o,x,b,x,b,x,positive
221,x,o,b,o,x,x,o,x,x,positive
222,o,o,o,b,x,x,o,x,b,positive
223,x,x,o,x,x,x,b,b,b,positive
224,b,x,o,o,b,x,o,b,x,positive
225,o,o,x,o,x,o,x,x,x,positive
226,x,x,o,x,o,x,o,b,x,negative
227,x,x,b,x,x,o,x,b,o,positive
228,o,x,b,o,x,b,o,x,x,positive
229,x,o,o,x,x,o,x,o,b,positive
230,x,x,x,o,o,x,x,x,o,negative
231,x,x,x,b,o,x,x,o,o,negative
232,x,x,b,b,x,o,o,x,x,positive
233,x,o,b,x,o,x,x,o,x,negative
234,o,x,o,x,b,x,o,x,o,negative
235,x,x,o,b,o,b,x,x,x,negative
236,x,x,o,b,x,o,b,x,o,positive
