,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
0,a,1,b,3,c,2,draw
1,a,1,c,1,c,2,draw
2,a,1,c,1,d,1,draw
3,a,1,c,1,d,2,draw
4,a,1,c,2,c,1,draw
5,a,1,c,2,c,3,draw
6,a,1,c,2,d,1,draw
7,a,1,c,2,d,2,draw
8,a,1,c,2,d,3,draw
9,a,1,c,3,c,2,draw
10,a,1,c,3,d,2,draw
11,a,1,c,3,d,3,draw
12,a,1,c,3,d,4,draw
13,a,1,c,4,d,3,draw
14,a,1,d,1,c,1,draw
15,a,1,d,1,c,2,draw
16,a,1,d,1,d,2,draw
17,a,1,d,1,e,1,draw
18,a,1,d,1,e,2,draw
19,a,1,d,2,c,1,draw
20,a,1,d,2,c,2,draw
21,a,1,d,2,c,3,draw
22,a,1,d,2,d,1,draw
23,a,1,d,2,d,3,draw
24,a,1,d,2,e,1,draw
25,a,1,d,2,e,2,draw
26,a,1,d,2,e,3,draw
27,a,1,d,3,c,2,draw
28,a,1,d,3,c,3,draw
29,a,1,d,3,d,2,draw
30,a,1,d,3,d,4,draw
31,a,1,d,3,e,2,draw
32,a,1,d,3,e,3,draw
33,a,1,d,3,e,4,draw
34,a,1,d,4,c,3,draw
35,a,1,d,4,d,3,draw
36,a,1,d,4,e,3,draw
37,a,1,d,4,e,4,draw
38,a,1,d,4,e,5,draw
39,a,1,d,5,e,4,draw
40,a,1,e,1,d,1,draw
41,a,1,e,1,d,2,draw
42,a,1,e,1,e,2,draw
43,a,1,e,1,f,1,draw
44,a,1,e,1,f,2,draw
45,a,1,e,2,d,1,draw
46,a,1,e,2,d,2,draw
47,a,1,e,2,d,3,draw
48,a,1,e,2,e,1,draw
49,a,1,e,2,e,3,draw
50,a,1,e,2,f,1,draw
51,a,1,e,2,f,2,draw
52,a,1,e,2,f,3,draw
53,a,1,e,3,d,2,draw
54,a,1,e,3,d,3,draw
55,a,1,e,3,d,4,draw
56,a,1,e,3,e,2,draw
57,a,1,e,3,e,4,draw
58,a,1,e,3,f,2,draw
59,a,1,e,3,f,3,draw
60,a,1,e,3,f,4,draw
61,a,1,e,4,d,3,draw
62,a,1,e,4,d,4,draw
63,a,1,e,4,e,3,draw
64,a,1,e,4,e,5,draw
65,a,1,e,4,f,3,draw
66,a,1,e,4,f,4,draw
67,a,1,e,4,f,5,draw
68,a,1,e,5,d,4,draw
69,a,1,e,5,e,4,draw
70,a,1,e,5,f,4,draw
71,a,1,e,5,f,5,draw
72,a,1,e,5,f,6,draw
73,a,1,e,6,f,5,draw
74,a,1,f,1,e,1,draw
75,a,1,f,1,e,2,draw
76,a,1,f,1,f,2,draw
77,a,1,f,1,g,1,draw
78,a,1,f,1,g,2,draw
79,a,1,f,2,e,1,draw
80,a,1,f,2,e,2,draw
81,a,1,f,2,e,3,draw
82,a,1,f,2,f,1,draw
83,a,1,f,2,f,3,draw
84,a,1,f,2,g,1,draw
85,a,1,f,2,g,2,draw
86,a,1,f,2,g,3,draw
87,a,1,f,3,e,2,draw
88,a,1,f,3,e,3,draw
89,a,1,f,3,e,4,draw
90,a,1,f,3,f,2,draw
91,a,1,f,3,f,4,draw
92,a,1,f,3,g,2,draw
93,a,1,f,3,g,3,draw
94,a,1,f,3,g,4,draw
95,a,1,f,4,e,3,draw
96,a,1,f,4,e,4,draw
97,a,1,f,4,e,5,draw
98,a,1,f,4,f,3,draw
99,a,1,f,4,f,5,draw
100,a,1,f,4,g,3,draw
101,a,1,f,4,g,4,draw
102,a,1,f,4,g,5,draw
103,a,1,f,5,e,4,draw
104,a,1,f,5,e,5,draw
105,a,1,f,5,f,4,draw
106,a,1,f,5,f,6,draw
107,a,1,f,5,g,4,draw
108,a,1,f,5,g,5,draw
