,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
0,2.0,4.0,4.0,3.0,2.0,7.0,8.0,2.0,9.0,11.0,7.0,7.0,1.0,8.0,5.0,6.0,Z
1,4.0,7.0,5.0,5.0,5.0,5.0,9.0,6.0,4.0,8.0,7.0,9.0,2.0,9.0,7.0,10.0,P
2,7.0,10.0,8.0,7.0,4.0,8.0,8.0,5.0,10.0,11.0,2.0,8.0,2.0,5.0,5.0,10.0,S
3,4.0,9.0,5.0,7.0,4.0,7.0,7.0,13.0,1.0,7.0,6.0,8.0,3.0,8.0,0.0,8.0,H
4,6.0,7.0,8.0,5.0,4.0,7.0,6.0,3.0,7.0,10.0,7.0,9.0,3.0,8.0,3.0,7.0,H
5,4.0,7.0,5.0,5.0,3.0,4.0,12.0,2.0,5.0,13.0,7.0,5.0,1.0,10.0,1.0,7.0,F
6,6.0,10.0,8.0,8.0,4.0,7.0,8.0,2.0,5.0,10.0,7.0,8.0,5.0,8.0,1.0,8.0,N
7,1.0,0.0,2.0,0.0,1.0,6.0,10.0,7.0,2.0,7.0,5.0,8.0,2.0,7.0,4.0,9.0,R
8,5.0,9.0,7.0,6.0,7.0,7.0,7.0,2.0,4.0,9.0,8.0,9.0,7.0,6.0,2.0,8.0,M
9,1.0,0.0,2.0,1.0,1.0,5.0,7.0,8.0,6.0,7.0,6.0,6.0,2.0,8.0,3.0,8.0,D
10,2.0,7.0,4.0,5.0,1.0,9.0,8.0,4.0,2.0,5.0,13.0,8.0,3.0,10.0,0.0,8.0,V
11,3.0,11.0,5.0,8.0,3.0,13.0,4.0,5.0,3.0,12.0,1.0,8.0,2.0,6.0,4.0,9.0,A
12,3.0,7.0,5.0,5.0,5.0,8.0,7.0,4.0,4.0,7.0,6.0,7.0,4.0,6.0,8.0,13.0,K
13,3.0,8.0,5.0,6.0,4.0,8.0,8.0,4.0,5.0,9.0,5.0,4.0,3.0,8.0,3.0,7.0,D
14,8.0,11.0,9.0,8.0,6.0,7.0,8.0,3.0,6.0,10.0,5.0,7.0,4.0,6.0,6.0,8.0,S
15,7.0,11.0,10.0,8.0,9.0,9.0,7.0,3.0,6.0,10.0,4.0,7.0,5.0,6.0,4.0,9.0,H
16,5.0,5.0,5.0,7.0,3.0,3.0,7.0,6.0,12.0,7.0,6.0,15.0,0.0,8.0,7.0,6.0,E
17,2.0,4.0,5.0,3.0,2.0,7.0,8.0,2.0,9.0,11.0,7.0,7.0,1.0,8.0,5.0,6.0,Z
18,4.0,7.0,6.0,5.0,4.0,8.0,9.0,8.0,4.0,7.0,7.0,7.0,3.0,8.0,3.0,8.0,O
19,4.0,6.0,4.0,7.0,5.0,8.0,8.0,6.0,2.0,7.0,7.0,11.0,3.0,9.0,5.0,8.0,Q
20,5.0,10.0,7.0,9.0,3.0,8.0,5.0,9.0,8.0,6.0,4.0,8.0,3.0,8.0,4.0,8.0,Q
21,3.0,7.0,3.0,5.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,6.0,0.0,8.0,0.0,8.0,L
22,1.0,1.0,2.0,1.0,0.0,7.0,9.0,4.0,2.0,7.0,13.0,8.0,2.0,10.0,0.0,8.0,V
23,2.0,1.0,3.0,2.0,1.0,8.0,7.0,3.0,8.0,6.0,6.0,8.0,2.0,8.0,5.0,8.0,X
24,8.0,9.0,10.0,8.0,12.0,7.0,6.0,5.0,5.0,7.0,6.0,8.0,7.0,10.0,6.0,9.0,V
25,5.0,10.0,8.0,7.0,11.0,9.0,6.0,2.0,2.0,8.0,4.0,8.0,10.0,5.0,3.0,6.0,M
26,5.0,6.0,5.0,4.0,3.0,4.0,9.0,1.0,7.0,10.0,10.0,6.0,1.0,10.0,2.0,4.0,Y
27,2.0,5.0,4.0,4.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,8.0,D
28,3.0,8.0,5.0,6.0,5.0,7.0,7.0,4.0,8.0,7.0,7.0,8.0,3.0,8.0,5.0,10.0,E
29,4.0,7.0,6.0,5.0,4.0,11.0,7.0,3.0,5.0,10.0,1.0,4.0,5.0,9.0,1.0,7.0,N
30,4.0,10.0,6.0,7.0,2.0,9.0,4.0,3.0,2.0,8.0,1.0,8.0,3.0,7.0,3.0,8.0,A
31,3.0,4.0,4.0,3.0,3.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0,D
32,4.0,8.0,5.0,6.0,4.0,9.0,9.0,6.0,4.0,7.0,5.0,8.0,3.0,8.0,10.0,7.0,Z
33,3.0,5.0,5.0,3.0,2.0,5.0,9.0,3.0,4.0,10.0,8.0,8.0,5.0,8.0,0.0,7.0,N
34,4.0,11.0,5.0,8.0,2.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,X
