,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,F,15,15,0,5,1,15,13,0,6,6,3,8,15,8,0,8
1,P,5,12,3,6,6,0,13,5,4,12,3,9,2,8,4,10
2,Z,2,11,6,12,6,0,6,6,2,10,3,7,9,7,3,9
3,K,7,11,6,6,3,12,7,3,2,4,4,3,6,15,2,0
4,G,2,8,0,9,1,15,6,6,6,6,5,7,11,7,2,10
5,V,4,11,15,8,2,8,10,12,9,5,6,6,0,9,9,7
6,B,2,2,15,8,4,15,9,12,2,15,6,6,13,9,7,4
7,R,12,1,3,2,1,8,12,2,2,8,13,8,11,6,4,7
8,M,2,5,4,8,6,10,6,6,6,12,4,8,1,6,8,7
9,M,11,15,7,9,15,2,12,6,2,12,1,9,7,3,1,0
10,J,0,9,15,7,12,8,7,3,10,5,6,8,13,8,6,7
11,O,6,10,4,7,4,11,7,6,4,10,7,7,4,9,2,0
12,G,4,9,6,7,6,7,10,12,15,4,11,11,4,9,6,8
13,Y,6,9,8,10,9,6,10,12,0,15,11,8,7,9,11,8
14,H,5,3,15,6,6,11,2,7,4,7,3,9,13,7,5,11
15,I,1,3,15,8,2,10,6,3,0,10,5,6,3,5,6,9
16,O,3,4,14,0,2,15,9,7,5,15,6,8,2,8,3,8
17,C,7,9,15,5,6,6,8,6,8,11,0,11,13,9,5,9
18,T,6,11,6,12,5,11,2,5,6,13,1,4,3,10,2,9
19,J,15,2,3,0,1,10,6,14,6,12,4,9,15,7,8,12
20,J,1,3,10,2,1,15,8,2,5,6,11,8,0,7,0,7
21,Q,4,1,5,8,12,7,9,12,2,15,6,8,9,8,3,8
22,V,0,2,0,0,2,15,8,9,0,7,11,6,2,8,9,8
23,O,6,11,13,12,5,6,6,9,6,15,11,7,4,9,5,7
24,M,3,6,4,4,2,11,6,3,5,6,12,12,1,1,8,8
25,N,6,11,7,8,3,7,10,9,1,4,7,13,11,7,4,0
26,M,7,11,11,12,9,3,8,3,5,1,11,10,10,5,2,7
27,L,9,12,9,8,5,14,10,3,4,7,10,6,10,10,4,8
28,H,6,3,8,6,6,15,6,12,12,7,0,9,6,9,4,8
29,G,3,6,4,4,2,6,15,8,5,4,14,9,2,8,4,0
30,T,15,3,0,4,1,13,14,8,2,0,6,12,15,8,0,0
31,T,12,13,0,1,1,11,3,1,7,9,3,3,15,7,4,9
32,J,3,12,8,6,12,1,10,3,7,8,2,7,3,7,3,4
33,B,4,9,13,7,13,14,8,4,4,6,12,6,6,11,11,7
34,M,1,9,5,6,3,5,6,14,5,1,1,9,7,5,2,12
35,B,2,7,6,5,2,6,6,6,10,4,5,7,9,15,4,8
36,C,2,2,15,5,3,6,7,7,6,7,6,8,3,9,3,8
37,X,3,6,14,4,6,10,0,8,1,13,14,15,15,15,4,0
38,B,4,3,5,10,6,15,5,4,4,7,5,11,6,9,5,11
39,E,3,4,0,10,2,3,10,12,8,7,6,9,15,9,6,0
40,X,4,11,8,8,12,8,10,1,8,10,11,7,3,9,4,0
41,U,3,2,4,14,12,6,7,8,8,8,8,9,3,9,6,3
42,X,2,14,7,4,3,9,9,6,8,11,3,6,9,9,15,9
43,G,4,5,15,12,2,6,6,7,10,4,6,3,1,8,7,2
44,E,7,9,2,5,6,8,10,4,5,8,10,5,5,12,3,0
45,X,4,10,5,6,5,15,9,3,10,5,6,12,3,8,6,8
46,W,5,9,2,6,8,6,9,8,3,15,1,8,6,8,3,8
47,B,12,13,2,1,1,7,9,8,2,7,11,3,1,9,3,9
48,R,8,10,8,6,6,7,9,3,0,9,8,8,6,6,6,12
49,V,3,3,14,6,2,6,5,12,10,7,6,3,0,9,9,8
50,A,7,11,9,8,0,9,5,12,4,7,12,8,3,9,8,3
51,L,3,6,0,8,1,1,5,12,2,0,1,2,15,8,0,8
52,Y,15,4,4,0,2,6,11,2,7,8,11,8,11,0,4,7
53,J,4,5,6,10,4,8,11,3,5,15,0,9,9,7,7,7
54,V,4,9,5,10,4,6,8,7,12,8,4,6,2,7,14,0
55,S,1,9,7,11,7,15,5,9,5,0,6,9,9,8,7,8
56,S,0,5,5,4,4,9,6,3,3,8,8,9,9,6,15,8
57,Z,2,14,3,8,6,6,9,10,8,6,14,6,9,8,3,0
58,C,1,10,4,14,6,11,7,6,2,13,7,7,13,5,5,3
59,L,4,10,6,12,4,14,3,2,6,9,13,9,2,11,3,3
60,K,0,13,0,5,6,6,9,1,2,5,6,8,5,9,0,8
61,C,15,13,0,9,1,5,9,3,2,11,1,11,11,5,2,8
62,U,6,3,4,4,2,6,9,4,7,10,6,10,11,5,7,3
63,X,2,3,15,6,5,6,15,14,0,4,6,9,13,9,8,8
64,H,3,13,14,1,6,8,7,5,6,15,6,8,5,8,3,12
65,L,15,13,2,4,1,0,1,8,6,0,6,6,15,9,0,8
66,Q,0,5,15,4,3,6,8,14,6,10,14,8,9,8,3,8
67,E,2,13,0,3,6,6,9,8,7,7,6,8,2,8,2,4
68,Y,4,9,2,7,3,14,15,6,4,7,8,6,6,9,8,1
69,H,3,7,8,10,12,14,8,4,0,9,4,5,6,9,2,3
70,Q,5,10,15,5,4,9,6,8,2,1,6,7,5,9,14,3
71,S,3,15,15,7,3,15,9,10,6,6,6,7,3,8,2,9
72,Q,4,14,6,8,5,8,5,6,5,4,7,3,4,7,5,3
73,J,2,15,3,6,1,2,6,8,4,13,3,11,1,1,0,0
74,M,2,2,15,5,6,8,7,2,7,14,11,12,0,8,1,0
75,Z,4,5,15,8,3,6,7,7,12,15,6,5,13,8,3,7
76,H,2,6,4,8,3,6,7,5,5,4,11,7,9,7,2,0
77,Y,2,1,13,8,4,6,15,3,5,0,1,10,0,5,2,0
78,A,3,7,5,5,2,12,12,14,2,10,13,7,13,1,3,8
79,N,3,5,14,8,2,6,10,8,4,7,0,6,6,5,2,5
80,M,6,9,9,7,8,3,9,4,0,10,11,3,7,5,3,12
81,X,3,14,13,8,4,5,10,6,3,12,5,10,5,15,15,0
82,C,1,12,15,7,12,15,5,3,4,0,9,11,5,5,8,10
83,P,1,10,8,12,7,8,13,7,0,7,14,12,3,9,8,3
84,N,2,3,3,9,1,12,9,14,3,1,12,8,5,8,0,8
85,W,3,4,4,0,2,14,11,3,2,5,9,7,6,0,0,0
86,V,0,8,5,6,3,8,9,4,1,9,0,8,4,15,4,7
87,E,1,3,5,8,13,15,9,5,5,15,14,8,8,9,9,3
88,M,1,2,5,5,7,4,7,3,0,1,10,11,8,6,3,12
89,U,4,8,15,6,12,7,9,4,8,13,12,9,13,5,2,12
90,K,1,11,8,8,11,12,8,3,5,9,12,7,0,5,2,4
91,Y,3,9,8,7,12,3,10,14,12,11,15,6,11,0,3,5
92,W,4,15,15,6,3,11,8,4,1,7,12,8,7,5,0,0
93,O,6,2,8,10,6,11,15,5,2,8,11,8,9,1,5,6
94,K,2,0,4,6,2,7,7,14,2,5,14,8,6,8,0,8
95,H,4,15,5,6,5,6,10,8,5,8,11,12,9,1,7,2
96,O,2,7,15,14,3,8,7,8,5,1,6,8,3,8,3,0
97,K,4,15,15,10,4,7,9,10,4,4,4,6,9,7,3,0
98,Q,4,3,5,6,2,6,15,0,1,15,0,8,3,8,0,0
99,G,7,11,8,9,4,1,9,6,12,11,11,10,3,5,2,6
100,Y,15,2,3,14,1,6,10,4,4,15,2,8,1,0,0,8
101,V,6,8,13,6,12,11,9,3,10,13,7,6,13,9,2,7
102,S,5,3,6,6,4,7,9,9,5,7,14,7,2,9,14,0
103,T,2,13,10,2,1,6,11,2,2,15,10,8,1,11,8,7
104,C,15,13,0,3,1,4,7,4,2,1,1,5,1,5,2,7
105,V,4,9,13,7,2,9,10,8,4,5,10,8,3,5,0,8
106,F,4,15,15,6,2,6,12,3,12,8,9,4,2,10,4,4
107,O,7,7,2,6,3,6,10,2,7,0,0,8,4,9,3,7
108,Z,3,15,4,6,4,6,8,9,6,15,7,2,9,8,3,7
109,W,15,8,3,9,1,7,10,4,9,15,12,8,6,15,0,0
110,P,15,9,0,7,6,15,9,0,7,13,14,7,15,8,8,8
111,U,3,15,0,6,2,3,9,6,10,15,6,13,0,8,6,8
112,F,6,3,8,6,12,6,1,12,2,12,0,3,13,5,2,7
113,P,0,9,4,7,3,7,7,0,7,12,6,8,15,9,1,0
114,Q,5,9,13,12,8,6,9,12,2,15,14,9,3,9,15,0
115,U,2,2,14,5,6,6,5,1,5,15,10,6,9,5,0,0
116,N,15,3,0,2,1,6,10,7,7,0,7,12,1,10,3,9
117,I,4,9,2,6,15,7,6,12,4,7,0,8,5,15,9,14
118,A,0,8,15,10,2,14,2,2,3,9,2,8,13,6,3,12
119,Z,0,7,5,14,2,6,10,6,11,11,0,6,1,9,7,12
120,J,0,7,15,5,2,0,5,6,8,1,4,7,9,7,3,10
121,N,0,13,15,2,2,5,10,14,4,1,8,6,5,8,8,8
122,H,6,9,5,4,3,10,15,5,0,10,2,8,6,6,4,3
123,B,0,3,0,4,3,6,7,5,5,7,14,6,4,9,5,10
124,D,5,3,7,7,15,15,8,3,2,10,11,6,3,7,6,8
125,U,4,14,15,8,2,12,8,12,10,9,8,8,9,9,4,7
126,M,2,0,2,14,4,8,9,3,5,7,6,7,9,7,8,8
127,I,0,7,14,14,6,1,2,4,4,13,2,8,15,8,4,7
128,Y,6,8,9,10,6,11,15,2,0,9,3,12,1,7,2,9
129,Q,12,1,10,1,1,7,9,12,13,7,14,8,3,8,0,8
130,A,15,1,4,2,1,15,14,2,2,15,13,8,13,5,4,12
131,C,5,10,4,5,2,6,15,12,2,9,14,7,4,5,4,8
132,E,1,4,1,1,1,4,7,8,10,7,6,13,15,9,7,10
133,U,3,13,3,9,1,12,10,5,7,10,1,8,3,15,4,6
134,A,0,7,15,14,2,10,4,2,2,8,3,9,13,12,2,7
135,J,4,15,5,6,3,12,10,1,10,10,1,9,13,9,3,8
136,V,4,15,7,6,12,8,10,3,11,13,3,8,13,6,4,3
137,J,12,3,2,3,1,10,7,1,5,13,4,8,0,7,0,7
138,K,5,11,8,8,5,6,9,6,12,10,0,3,4,9,15,8
139,P,15,14,2,4,1,14,5,0,6,13,5,7,15,9,8,8
140,P,7,11,4,8,6,11,11,14,2,12,14,3,0,10,3,0
141,T,15,8,10,1,0,15,15,2,5,4,3,8,15,9,0,0
142,N,1,8,2,3,1,11,8,6,6,9,0,4,11,5,3,4
143,Q,2,3,4,7,4,6,10,1,13,7,5,8,3,9,0,8
144,R,15,0,14,0,2,10,12,2,15,9,13,7,2,7,3,9
145,T,1,11,5,12,14,6,9,3,2,4,0,11,6,0,9,12
146,T,3,14,4,8,3,6,1,3,6,7,11,8,13,12,1,12
147,R,15,15,4,6,6,8,12,4,4,11,2,10,9,1,3,9
148,E,3,9,5,6,2,8,7,4,1,6,15,8,2,10,0,0
149,G,5,7,6,14,4,8,8,7,5,6,0,7,4,9,4,5
150,I,2,9,10,10,3,6,9,4,12,7,14,8,15,9,2,0
