,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,usual,proper,complete,1,convenient,convenient,nonprob,priority,recommend
1,pretentious,improper,incomplete,1,less_conv,convenient,problematic,not_recom,spec_prior
2,usual,proper,complete,1,convenient,convenient,nonprob,priority,recommend
3,usual,proper,complete,1,convenient,convenient,nonprob,recommended,priority
4,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
5,pretentious,improper,incomplete,1,less_conv,convenient,slightly_prob,priority,recommend
6,pretentious,improper,incomplete,1,less_conv,convenient,slightly_prob,recommended,recommend
7,pretentious,improper,incomplete,1,less_conv,convenient,slightly_prob,not_recom,spec_prior
8,pretentious,improper,incomplete,1,less_conv,inconv,problematic,priority,very_recom
9,pretentious,improper,incomplete,1,less_conv,inconv,problematic,recommended,recommend
10,pretentious,improper,incomplete,1,less_conv,inconv,problematic,not_recom,spec_prior
11,usual,proper,complete,1,convenient,inconv,nonprob,priority,very_recom
12,usual,proper,complete,1,convenient,inconv,nonprob,recommended,recommend
13,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,spec_prior
14,pretentious,improper,incomplete,1,less_conv,inconv,slightly_prob,priority,recommend
15,pretentious,improper,incomplete,1,less_conv,inconv,slightly_prob,recommended,recommend
16,pretentious,improper,incomplete,1,less_conv,inconv,slightly_prob,not_recom,spec_prior
17,pretentious,improper,incomplete,1,convenient,convenient,problematic,priority,very_recom
18,pretentious,improper,incomplete,1,convenient,convenient,problematic,recommended,recommend
19,pretentious,improper,incomplete,1,convenient,convenient,problematic,not_recom,spec_prior
20,usual,proper,complete,1,less_conv,convenient,nonprob,priority,very_recom
21,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,recommend
22,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,spec_prior
23,pretentious,improper,incomplete,1,convenient,convenient,slightly_prob,priority,recommend
24,pretentious,improper,incomplete,1,convenient,convenient,slightly_prob,recommended,recommend
25,pretentious,improper,incomplete,1,convenient,convenient,slightly_prob,not_recom,spec_prior
26,pretentious,improper,incomplete,1,convenient,inconv,problematic,priority,very_recom
27,pretentious,improper,incomplete,1,convenient,inconv,problematic,recommended,recommend
28,pretentious,improper,incomplete,1,convenient,inconv,problematic,not_recom,spec_prior
29,usual,proper,complete,1,less_conv,inconv,nonprob,priority,very_recom
30,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,recommend
31,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,spec_prior
32,pretentious,improper,incomplete,1,convenient,inconv,slightly_prob,priority,recommend
33,pretentious,improper,incomplete,1,convenient,inconv,slightly_prob,recommended,recommend
34,pretentious,improper,incomplete,1,convenient,inconv,slightly_prob,not_recom,spec_prior
35,pretentious,improper,incomplete,1,critical,convenient,problematic,priority,very_recom
36,pretentious,improper,incomplete,1,critical,convenient,problematic,recommended,recommend
37,pretentious,improper,incomplete,1,critical,convenient,problematic,not_recom,spec_prior
38,usual,proper,complete,1,critical,convenient,nonprob,priority,very_recom
39,usual,proper,complete,1,critical,convenient,nonprob,recommended,recommend
40,usual,proper,complete,1,critical,convenient,nonprob,not_recom,spec_prior
41,pretentious,improper,incomplete,1,critical,convenient,slightly_prob,priority,recommend
42,pretentious,improper,incomplete,1,critical,convenient,slightly_prob,recommended,recommend
43,pretentious,improper,incomplete,1,critical,convenient,slightly_prob,not_recom,spec_prior
44,pretentious,improper,incomplete,1,critical,inconv,problematic,priority,very_recom
45,pretentious,improper,incomplete,1,critical,inconv,problematic,recommended,recommend
46,pretentious,improper,incomplete,1,critical,inconv,problematic,not_recom,spec_prior
47,usual,proper,complete,1,critical,inconv,nonprob,priority,very_recom
