,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,usual,proper,complete,1,convenient,convenient,nonprob,priority,not_recom
1,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
2,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,very_recom
3,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,not_recom
4,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,priority
5,usual,proper,complete,1,convenient,convenient,problematic,recommended,not_recom
6,usual,proper,complete,1,convenient,convenient,problematic,priority,not_recom
7,usual,proper,complete,1,convenient,convenient,problematic,not_recom,priority
8,usual,proper,complete,1,convenient,inconv,nonprob,recommended,spec_prior
9,usual,proper,complete,1,convenient,inconv,nonprob,priority,not_recom
10,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
11,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,spec_prior
12,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,not_recom
13,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,priority
14,usual,proper,complete,1,convenient,inconv,problematic,recommended,not_recom
15,usual,proper,complete,1,convenient,inconv,problematic,priority,not_recom
16,usual,proper,complete,1,convenient,inconv,problematic,not_recom,priority
17,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,spec_prior
18,usual,proper,complete,1,less_conv,convenient,nonprob,priority,not_recom
19,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,priority
20,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,spec_prior
21,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,not_recom
22,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,priority
23,usual,proper,complete,1,less_conv,convenient,problematic,recommended,not_recom
24,usual,proper,complete,1,less_conv,convenient,problematic,priority,not_recom
25,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,priority
26,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,spec_prior
27,usual,proper,complete,1,less_conv,inconv,nonprob,priority,not_recom
28,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,priority
29,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,spec_prior
30,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,not_recom
31,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,priority
32,usual,proper,complete,1,less_conv,inconv,problematic,recommended,not_recom
33,usual,proper,complete,1,less_conv,inconv,problematic,priority,not_recom
34,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,priority
35,usual,proper,complete,1,critical,convenient,nonprob,recommended,spec_prior
36,usual,proper,complete,1,critical,convenient,nonprob,priority,not_recom
37,usual,proper,complete,1,critical,convenient,nonprob,not_recom,priority
38,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,spec_prior
39,usual,proper,complete,1,critical,convenient,slightly_prob,priority,not_recom
40,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,priority
41,usual,proper,complete,1,critical,convenient,problematic,recommended,not_recom
42,usual,proper,complete,1,critical,convenient,problematic,priority,not_recom
43,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
44,usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
45,usual,proper,complete,1,critical,inconv,nonprob,priority,not_recom
46,usual,proper,complete,1,critical,inconv,nonprob,not_recom,priority
47,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,spec_prior
48,usual,proper,complete,1,critical,inconv,slightly_prob,priority,not_recom
49,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,priority
50,usual,proper,complete,1,critical,inconv,problematic,recommended,not_recom
51,usual,proper,complete,1,critical,inconv,problematic,priority,not_recom
52,usual,proper,complete,1,critical,inconv,problematic,not_recom,priority
53,usual,proper,complete,2,convenient,convenient,nonprob,recommended,spec_prior
54,usual,proper,complete,2,convenient,convenient,nonprob,priority,not_recom
55,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,priority
56,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,spec_prior
57,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,not_recom
58,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,priority
59,usual,proper,complete,2,convenient,convenient,problematic,recommended,not_recom
60,usual,proper,complete,2,convenient,convenient,problematic,priority,not_recom
61,usual,proper,complete,2,convenient,convenient,problematic,not_recom,priority
62,usual,proper,complete,2,convenient,inconv,nonprob,recommended,spec_prior
63,usual,proper,complete,2,convenient,inconv,nonprob,priority,not_recom
64,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,priority
65,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,spec_prior
66,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,not_recom
67,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,priority
68,usual,proper,complete,2,convenient,inconv,problematic,recommended,not_recom
69,usual,proper,complete,2,convenient,inconv,problematic,priority,not_recom
70,usual,proper,complete,2,convenient,inconv,problematic,not_recom,priority
71,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,spec_prior
72,usual,proper,complete,2,less_conv,convenient,nonprob,priority,not_recom
73,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,priority
74,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,spec_prior
75,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,not_recom
76,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,priority
77,usual,proper,complete,2,less_conv,convenient,problematic,recommended,not_recom
78,usual,proper,complete,2,less_conv,convenient,problematic,priority,not_recom
79,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,priority
80,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,spec_prior
81,usual,proper,complete,2,less_conv,inconv,nonprob,priority,not_recom
82,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,priority
83,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,spec_prior
84,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,not_recom
85,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,priority
86,usual,proper,complete,2,less_conv,inconv,problematic,recommended,not_recom
87,usual,proper,complete,2,less_conv,inconv,problematic,priority,not_recom
88,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,priority
89,usual,proper,complete,2,critical,convenient,nonprob,recommended,not_recom
90,usual,proper,complete,2,critical,convenient,nonprob,priority,not_recom
91,usual,proper,complete,2,critical,convenient,nonprob,not_recom,priority
92,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,not_recom
93,usual,proper,complete,2,critical,convenient,slightly_prob,priority,not_recom
94,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,priority
95,usual,proper,complete,2,critical,convenient,problematic,recommended,not_recom
96,usual,proper,complete,2,critical,convenient,problematic,priority,not_recom
97,usual,proper,complete,2,critical,convenient,problematic,not_recom,priority
98,usual,proper,complete,2,critical,inconv,nonprob,recommended,not_recom
99,usual,proper,complete,2,critical,inconv,nonprob,priority,not_recom
100,usual,proper,complete,2,critical,inconv,nonprob,not_recom,priority
101,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,not_recom
102,usual,proper,complete,2,critical,inconv,slightly_prob,priority,not_recom
103,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,priority
104,usual,proper,complete,2,critical,inconv,problematic,recommended,not_recom
105,usual,proper,complete,2,critical,inconv,problematic,priority,not_recom
