,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
1,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
2,usual,proper,complete,1,convenient,convenient,problematic,priority,very_recom
3,usual,proper,complete,1,convenient,convenient,problematic,not_recom,priority
4,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
5,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
6,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
7,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
8,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,very_recom
9,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,priority
10,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
11,usual,proper,complete,1,convenient,inconv,problematic,priority,very_recom
12,usual,proper,complete,1,convenient,inconv,problematic,not_recom,priority
13,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
14,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
15,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
16,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
17,usual,proper,complete,1,critical,convenient,slightly_prob,priority,very_recom
18,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,priority
19,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
20,usual,proper,complete,1,critical,convenient,problematic,priority,very_recom
21,usual,proper,complete,1,critical,convenient,problematic,not_recom,priority
22,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
23,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
24,usual,proper,complete,1,critical,convenient,nonprob,not_recom,priority
25,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
26,usual,proper,complete,1,critical,inconv,slightly_prob,priority,very_recom
27,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,priority
28,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
29,usual,proper,complete,1,critical,inconv,problematic,priority,very_recom
30,usual,proper,complete,1,critical,inconv,problematic,not_recom,priority
31,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
32,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
33,usual,proper,complete,1,critical,inconv,nonprob,not_recom,priority
34,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
35,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,very_recom
36,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,priority
37,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
38,usual,proper,complete,1,convenient,convenient,problematic,priority,very_recom
39,usual,proper,complete,1,convenient,convenient,problematic,not_recom,priority
40,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
41,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
42,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
43,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
44,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,very_recom
45,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,priority
46,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
47,usual,proper,complete,1,convenient,inconv,problematic,priority,very_recom
48,usual,proper,complete,1,convenient,inconv,problematic,not_recom,priority
49,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
50,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
51,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
52,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
53,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,very_recom
54,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,priority
55,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
56,usual,proper,complete,2,convenient,convenient,problematic,priority,very_recom
57,usual,proper,complete,2,convenient,convenient,problematic,not_recom,priority
58,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
59,usual,proper,complete,2,convenient,convenient,nonprob,priority,priority
60,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,priority
61,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
62,usual,proper,complete,2,convenient,inconv,nonprob,priority,very_recom
63,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,priority
64,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
65,usual,proper,complete,2,convenient,inconv,problematic,priority,very_recom
66,usual,proper,complete,2,convenient,inconv,problematic,not_recom,priority
67,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
68,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
69,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,priority
70,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
71,usual,proper,complete,2,critical,convenient,nonprob,priority,very_recom
72,usual,proper,complete,2,critical,convenient,nonprob,not_recom,priority
73,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
74,usual,proper,complete,2,critical,convenient,problematic,priority,very_recom
75,usual,proper,complete,2,critical,convenient,problematic,not_recom,priority
76,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
77,usual,proper,complete,2,critical,convenient,nonprob,priority,priority
78,usual,proper,complete,2,critical,convenient,nonprob,not_recom,priority
79,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
80,usual,proper,complete,2,critical,inconv,slightly_prob,priority,very_recom
81,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,priority
82,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
83,usual,proper,complete,2,critical,inconv,problematic,priority,very_recom
84,usual,proper,complete,2,critical,inconv,problematic,not_recom,priority
85,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
86,usual,proper,complete,2,critical,inconv,nonprob,priority,priority
87,usual,proper,complete,2,critical,inconv,nonprob,not_recom,priority
88,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
89,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
90,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,priority
91,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
92,usual,proper,complete,2,convenient,convenient,problematic,priority,priority
93,usual,proper,complete,2,convenient,convenient,problematic,not_recom,priority
94,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
95,usual,proper,complete,2,convenient,convenient,nonprob,priority,priority
96,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,priority
97,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
98,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,priority
99,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,priority
100,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
101,usual,proper,complete,2,convenient,inconv,problematic,priority,priority
102,usual,proper,complete,2,convenient,inconv,problematic,not_recom,priority
103,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
104,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
105,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,priority
106,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
107,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,very_recom
108,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,priority
109,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
110,usual,proper,complete,3,convenient,convenient,problematic,priority,very_recom
111,usual,proper,complete,3,convenient,convenient,problematic,not_recom,priority
112,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
113,usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
114,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,priority
115,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
116,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
117,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,priority
118,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
119,usual,proper,complete,3,convenient,inconv,problematic,priority,priority
120,usual,proper,complete,3,convenient,inconv,problematic,not_recom,priority
121,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
122,usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
123,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,priority
124,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
125,usual,proper,complete,3,critical,convenient,slightly_prob,priority,priority
126,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,priority
127,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
128,usual,proper,complete,3,critical,convenient,problematic,priority,priority
129,usual,proper,complete,3,critical,convenient,problematic,not_recom,priority
130,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recom
131,usual,proper,complete,3,critical,convenient,nonprob,priority,priority
132,usual,proper,complete,3,critical,convenient,nonprob,not_recom,priority
133,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
134,usual,proper,complete,3,critical,inconv,slightly_prob,priority,priority
135,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,priority
136,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
137,usual,proper,complete,3,critical,inconv,problematic,priority,priority
138,usual,proper,complete,3,critical,inconv,problematic,not_recom,priority
139,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
140,usual,proper,complete,3,critical,inconv,nonprob,priority,priority
141,usual,proper,complete,3,critical,inconv,nonprob,not_recom,priority
142,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
143,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,priority
144,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,priority
145,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
146,usual,proper,complete,3,convenient,convenient,problematic,priority,priority
147,usual,proper,complete,3,convenient,convenient,problematic,not_recom,priority
148,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
149,usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
150,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,priority
151,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
152,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
153,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,priority
154,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
155,usual,proper,complete,3,convenient,inconv,problematic,priority,priority
156,usual,proper,complete,3,convenient,inconv,problematic,not_recom,priority
157,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
158,usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
159,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,priority
160,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
161,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,very_recom
162,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,priority
163,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
164,usual,proper,complete,1,convenient,convenient,problematic,priority,very_recom
165,usual,proper,complete,1,convenient,convenient,problematic,not_recom,priority
166,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
167,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
168,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
169,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
170,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
171,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
172,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
173,usual,proper,complete,1,convenient,inconv,problematic,priority,priority
174,usual,proper,complete,1,convenient,inconv,problematic,not_recom,priority
175,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
176,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
177,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
178,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
179,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
180,usual,proper,complete,1,critical,convenient,nonprob,not_recom,priority
181,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
182,usual,proper,complete,1,critical,convenient,problematic,priority,priority
183,usual,proper,complete,1,critical,convenient,problematic,not_recom,priority
184,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
185,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
186,usual,proper,complete,1,critical,convenient,nonprob,not_recom,priority
187,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
188,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
189,usual,proper,complete,1,critical,inconv,nonprob,not_recom,priority
190,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
191,usual,proper,complete,1,critical,inconv,problematic,priority,priority
192,usual,proper,complete,1,critical,inconv,problematic,not_recom,priority
193,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
194,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
195,usual,proper,complete,1,critical,inconv,nonprob,not_recom,priority
196,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
197,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
198,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
199,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
200,usual,proper,complete,1,convenient,convenient,problematic,priority,priority
201,usual,proper,complete,1,convenient,convenient,problematic,not_recom,priority
202,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
203,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
204,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,priority
205,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
206,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
207,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
208,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
209,usual,proper,complete,1,convenient,inconv,problematic,priority,priority
210,usual,proper,complete,1,convenient,inconv,problematic,not_recom,priority
211,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
212,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
213,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,priority
214,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
215,usual,proper,completed,1,convenient,convenient,nonprob,priority,very_recom
216,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,priority
217,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
218,usual,proper,completed,1,convenient,convenient,problematic,priority,very_recom
219,usual,proper,completed,1,convenient,convenient,problematic,not_recom,priority
220,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
221,usual,proper,completed,1,convenient,convenient,nonprob,priority,priority
222,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,priority
223,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
224,usual,proper,completed,1,convenient,inconv,nonprob,priority,very_recom
225,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,priority
226,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
227,usual,proper,completed,1,convenient,inconv,problematic,priority,very_recom
228,usual,proper,completed,1,convenient,inconv,problematic,not_recom,priority
229,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recom
230,usual,proper,completed,1,convenient,inconv,nonprob,priority,priority
231,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,priority
232,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
233,usual,proper,completed,1,critical,convenient,slightly_prob,priority,very_recom
234,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,priority
235,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
236,usual,proper,completed,1,critical,convenient,problematic,priority,very_recom
237,usual,proper,completed,1,critical,convenient,problematic,not_recom,priority
238,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recom
239,usual,proper,completed,1,critical,convenient,nonprob,priority,priority
240,usual,proper,completed,1,critical,convenient,nonprob,not_recom,priority
241,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
242,usual,proper,completed,1,critical,inconv,slightly_prob,priority,very_recom
243,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,priority
244,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
245,usual,proper,completed,1,critical,inconv,problematic,priority,very_recom
246,usual,proper,completed,1,critical,inconv,problematic,not_recom,priority
247,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recom
248,usual,proper,completed,1,critical,inconv,nonprob,priority,priority
249,usual,proper,completed,1,critical,inconv,nonprob,not_recom,priority
