id,start,end,event,size,state
1.0,0.0,913439.0,,14.0,
1.0,913439.0,1292405.0,,14.0,
1.0,1292405.0,1540749.0,0.0,14.0,
2.0,,,,,
,,913439.0,,18.0,
3.0,913439.0,1292405.0,1.0,18.0,
3.0,1292405.0,1540749.0,,,
4.0,,,0.0,18.0,
5.0,0.0,,0.0,13.0,
,,,,,
7.0,,,,53.0,0
,,343394.0,0.0,45.0,
,,122056.0,,60.0,0
10.0,122056.0,163760.0,,,1
11.0,,,1.0,60.0,
11.0,6230.0,570075.0,1.0,,1
11.0,,570142.0,1.0,,
11.0,,696434.0,,56.0,1
,,,0.0,51.0,
,,,,37.0,1
,1717380.0,,0.0,,1
,0.0,1925158.0,0.0,113.0,
12.0,,,,12.0,0
12.0,,,,,
,,337409.0,1.0,995.0,0
,337409.0,585753.0,,,1
,0.0,73979.0,,86.0,0
,,,,12.0,0
15.0,,,0.0,59.0,
,,73979.0,,,
17.0,0.0,,,12.0,
18.0,,,0.0,86.0,
19.0,0.0,333561.0,0.0,,0
,,,,74.0,0
,0.0,,1.0,,
,,,,,1
,,334285.0,,,1
21.0,334285.0,,0.0,,
22.0,0.0,,,25.0,
22.0,,,,177.0,0
22.0,,334285.0,,,1
,,,1.0,139.0,
,,,,,
22.0,,,0.0,,1
,1338413.0,1690336.0,1.0,96.0,
22.0,,1717378.0,,74.0,
22.0,,1802719.0,0.0,74.0,1
,0.0,6192.0,,83.0,0
25.0,,,,48.0,
26.0,,6230.0,1.0,,
,,,,,1
26.0,,,,40.0,
26.0,,570141.0,1.0,,
26.0,,,,48.0,1
26.0,773309.0,,,48.0,
26.0,,,,,
,1338412.0,,,,1
26.0,1717378.0,1802719.0,,,1
23.0,0.0,,0.0,,0
23.0,,,1.0,47.0,
,333561.0,1338415.0,,47.0,
23.0,1338415.0,,0.0,47.0,1
28.0,,1338416.0,0.0,,
,1338416.0,1717382.0,,33.0,
28.0,,,,,
27.0,,,,14.0,0
