V1,V2,V3,V4,V5,V6,V7,Class
0.0,0.0,0.0,0.0,20.0,20.0,46.1,1
1.0,19.0,0.0,19.0,8.0,8.0,46.1,1
2.0,0.0,20.0,19.0,8.0,22.47,46.1,1
3.0,0.0,20.0,8.0,42.0,23.41,46.1,1
4.0,19.0,8.0,8.0,42.0,35.74,46.1,1
0.0,0.0,0.0,0.0,12.0,12.0,37.66,1
1.0,7.0,0.0,7.0,7.0,7.0,37.66,1
2.0,0.0,12.0,7.0,7.0,8.6,37.66,1
3.0,0.0,12.0,1.0,35.0,23.02,37.66,1
4.0,7.0,7.0,5.0,30.0,23.09,37.66,1
5.0,1.0,35.0,2.0,37.0,2.24,37.66,1
6.0,2.0,37.0,5.0,30.0,7.62,37.66,1
0.0,0.0,0.0,0.0,20.0,20.0,43.05,1
1.0,19.0,0.0,20.0,11.0,11.05,43.05,1
2.0,0.0,20.0,20.0,11.0,21.93,43.05,1
3.0,0.0,20.0,0.0,37.0,17.0,43.05,1
4.0,20.0,11.0,22.0,22.0,11.18,43.05,1
5.0,0.0,37.0,22.0,22.0,26.63,43.05,1
0.0,0.0,0.0,0.0,7.0,7.0,25.0,1
1.0,6.0,0.0,6.0,7.0,7.0,25.0,1
2.0,0.0,7.0,6.0,7.0,6.0,25.0,1
3.0,0.0,7.0,1.0,24.0,17.03,25.0,1
4.0,6.0,7.0,7.0,24.0,17.03,25.0,1
5.0,1.0,24.0,2.0,24.0,1.0,25.0,1
6.0,2.0,24.0,7.0,24.0,5.0,25.0,1
0.0,0.0,0.0,0.0,7.0,7.0,40.0,1
1.0,21.0,0.0,22.0,11.0,11.05,40.0,1
2.0,0.0,7.0,22.0,11.0,22.36,40.0,1
3.0,0.0,7.0,2.0,15.0,8.25,40.0,1
4.0,22.0,11.0,24.0,32.0,21.1,40.0,1
5.0,2.0,15.0,24.0,32.0,27.8,40.0,1
0.0,0.0,0.0,0.0,6.0,6.0,26.0,1
