V1,V2,V3,V4,V5,V6,V7,Class
,0.0,,0.0,20.0,20.0,46.1,1
1.0,,,,,,46.1,1
,,20.0,19.0,,22.47,,
,0.0,,8.0,42.0,23.41,46.1,1
4.0,19.0,8.0,,,,,1
,0.0,,0.0,,12.0,37.66,1
,,,7.0,7.0,,37.66,
,,,,7.0,,,1
3.0,0.0,12.0,,,,,1
4.0,7.0,,,,23.09,37.66,
,1.0,35.0,,37.0,,37.66,
,,37.0,5.0,,,,1
0.0,0.0,0.0,,20.0,,43.05,
1.0,,0.0,,,11.05,,1
,,20.0,20.0,,,43.05,
3.0,0.0,20.0,,37.0,17.0,,
,,,,,,43.05,1
,0.0,37.0,,,26.63,,
,0.0,0.0,,7.0,7.0,25.0,
1.0,,,,7.0,7.0,,1
,,7.0,6.0,7.0,6.0,,1
3.0,,7.0,,,17.03,25.0,1
,6.0,,7.0,24.0,17.03,25.0,1
5.0,1.0,24.0,2.0,24.0,,,
6.0,2.0,24.0,,24.0,,25.0,1
0.0,0.0,0.0,0.0,,7.0,,1
1.0,,,22.0,11.0,11.05,,1
,,7.0,,,22.36,40.0,1
,,7.0,2.0,,8.25,40.0,
,22.0,,24.0,32.0,,,
5.0,2.0,15.0,24.0,,,40.0,1
0.0,0.0,0.0,0.0,6.0,,26.0,1
,10.0,0.0,10.0,7.0,,,
2.0,0.0,6.0,,7.0,,,1
,,,,13.0,,26.0,1
4.0,,,9.0,24.0,,,1
,,,,,9.85,,
,,22.0,,,,26.0,1
0.0,,,0.0,,,,1
1.0,18.0,0.0,,,11.05,41.59,1
2.0,0.0,22.0,19.0,,21.95,41.59,
3.0,0.0,22.0,1.0,37.0,15.03,,
,19.0,,17.0,,19.1,41.59,1
,,,,30.0,17.46,,
0.0,,0.0,0.0,,,49.74,
,24.0,0.0,25.0,,17.03,,
,0.0,,,17.0,25.96,49.74,1
,,,2.0,,,49.74,1
4.0,25.0,17.0,,40.0,,,
5.0,,,,43.0,11.4,49.74,
,9.0,,24.0,40.0,15.3,49.74,
,,,0.0,10.0,10.0,32.53,1
,,0.0,,14.0,14.0,32.53,1
2.0,,10.0,,,23.35,,1
3.0,0.0,,13.0,23.0,18.38,32.53,
4.0,23.0,,,,13.45,,1
,,,,15.0,,,
,,0.0,,9.0,9.22,,
,,,,,,37.48,1
3.0,0.0,,,,,,
4.0,,,,,,37.48,1
0.0,0.0,,0.0,,18.0,29.55,
1.0,,0.0,,,,29.55,1
,,,12.0,18.0,,,1
,,,,27.0,,,1
