date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
,,,0.056443,,0.003467,0.422915,0.414912,UP
,,0.021277,0.051699,,,,,UP
,2,,0.051489,,,,0.414912,UP
0.0,2,,0.045485,0.314639,,,,UP
0.0,,0.085106,,,,0.422915,,DOWN
0.0,2,0.106383,,0.207528,,0.422915,0.414912,DOWN
,,,,,0.003467,0.422915,,
,2,0.148936,0.041161,,,,0.414912,
,,,0.041161,0.13493,0.003467,,0.414912,DOWN
,,,,0.140583,0.003467,0.422915,,
0.0,,0.212766,0.044374,,,0.422915,0.414912,UP
0.0,2,,0.049868,,0.003467,,,
0.0,,0.255319,0.051489,,0.003467,,0.414912,UP
0.0,2,,,0.39036,0.003467,,0.414912,DOWN
,,,,,,,0.414912,
0.0,,0.319149,,,0.003467,0.422915,0.414912,
,2,0.340426,,,0.003467,0.422915,,DOWN
,,,0.040711,,,0.422915,,
,,,,,0.003467,0.422915,0.414912,DOWN
0.0,2,,,,0.003467,,,DOWN
0.0,2,0.425532,0.044374,0.53496,0.003467,,0.414912,
,,,0.044374,,,0.422915,0.414912,UP
0.0,,,,,,0.422915,,
,2,0.489362,,0.513835,,0.422915,,UP
0.0,,0.510638,,0.505356,,,0.414912,UP
,,,0.044374,,0.003467,0.422915,0.414912,
0.0,2,0.553191,0.042482,,,0.422915,,DOWN
0.0,2,0.574468,,0.491669,0.003467,,,UP
,2,0.595745,,0.489735,0.003467,,0.414912,
,,0.617021,0.042482,0.47709,0.003467,0.422915,,
,2,0.638298,0.040861,,,,0.414912,
,,,0.041161,0.478132,,,,
,,,,0.484975,,,,
,,0.702128,,0.503124,0.003467,0.422915,,DOWN
0.0,2,,,0.55296,,,,DOWN
0.0,2,,,0.612318,,,,UP
,2,0.765957,,0.587623,,,0.414912,
,2,,,0.546861,,0.422915,0.414912,DOWN
,2,,0.040711,,,,0.414912,
0.0,2,,0.040861,,0.003467,0.422915,,DOWN
0.0,,0.851064,,0.446296,,0.422915,0.414912,
,,0.87234,0.042482,0.412229,,0.422915,0.414912,DOWN
0.0,,0.893617,0.041161,0.368789,0.003467,0.422915,0.414912,DOWN
0.0,2,,0.051489,,,0.422915,,UP
,,,,,0.003467,0.422915,,
0.0,2,,0.054642,0.42889,0.003467,0.422915,,
,,,0.059235,0.445254,,0.422915,0.414912,
,,1.0,,,,,,UP
4.4e-05,,0.0,0.059235,,0.003467,0.422915,,UP
4.4e-05,,0.021277,0.056443,0.41089,,,,
4.4e-05,,,,,0.003467,0.422915,,
,,,,0.316721,,0.422915,0.414912,DOWN
,3,0.085106,,,,,0.414912,DOWN
,3,0.106383,0.041161,0.214073,,0.422915,0.414912,DOWN
,3,0.12766,0.041161,,,0.422915,,DOWN
4.4e-05,,,0.040951,,,,0.414912,
,,0.170213,,0.1385,,,,DOWN
4.4e-05,3,0.191489,,0.142071,0.003467,0.422915,0.414912,
,,0.212766,0.042482,,,0.422915,0.414912,
4.4e-05,3,0.234043,,,0.003467,0.422915,0.414912,UP
,,,,,,,,UP
4.4e-05,3,,,,0.003467,0.422915,0.414912,
,3,,,,0.003467,0.422915,0.414912,DOWN
4.4e-05,,0.319149,0.040861,,0.003467,0.422915,0.414912,
,,,0.040861,,,0.422915,,DOWN
4.4e-05,3,0.361702,0.040861,,0.003467,0.422915,,
4.4e-05,3,0.382979,0.041041,,0.003467,,,DOWN
4.4e-05,3,,0.041041,,,,0.414912,
,,,,0.519935,0.003467,,0.414912,DOWN
,3,0.446809,0.042362,0.502529,,,,DOWN
,3,0.468085,0.042482,0.491818,0.003467,0.422915,,
,,0.489362,,0.486909,0.003467,0.422915,,DOWN
4.4e-05,,0.510638,0.044374,,,0.422915,0.414912,
,3,0.531915,,0.477388,0.003467,0.422915,0.414912,
4.4e-05,3,,,,,0.422915,0.414912,
4.4e-05,,,0.042482,0.47114,0.003467,,,
4.4e-05,3,0.595745,0.041041,0.462065,,,,DOWN
4.4e-05,,,0.040861,0.445403,,0.422915,0.414912,DOWN
,3,0.638298,0.040861,0.442428,0.003467,0.422915,,
4.4e-05,3,0.659574,0.040861,,,,,DOWN
4.4e-05,3,0.680851,0.040861,0.455965,0.003467,,,
,3,0.702128,0.040861,,,,0.414912,
4.4e-05,3,,0.041041,,,,,DOWN
4.4e-05,,,0.041041,,0.003467,0.422915,0.414912,DOWN
,3,0.765957,0.040861,,,,0.414912,DOWN
4.4e-05,3,0.787234,0.040711,,0.003467,0.422915,,
,,0.808511,,0.51086,0.003467,,,DOWN
,,,,,0.003467,0.422915,0.414912,
,3,,,,0.003467,,0.414912,DOWN
,,,,,0.003467,0.422915,0.414912,DOWN
,,,0.041041,0.3856,0.003467,,0.414912,DOWN
,3,,,0.350342,,,,
4.4e-05,3,0.93617,,0.409104,,,0.414912,UP
4.4e-05,3,,0.055362,0.435138,,,0.414912,UP
4.4e-05,,0.978723,0.059235,,,0.422915,,
,,,,0.449866,,0.422915,0.414912,
,4,,0.054642,0.44823,0.003467,,0.414912,
,,,,,0.003467,0.422915,0.414912,UP
,4,0.042553,0.051489,0.399286,,,0.414912,UP
,,0.06383,,0.331449,,,,DOWN
8.8e-05,4,0.085106,0.041041,,0.003467,0.422915,,
,,,,0.228206,0.003467,0.422915,,DOWN
,,0.12766,0.041041,,,0.422915,,
,,0.148936,,,,0.422915,0.414912,
8.8e-05,,0.170213,,0.151592,0.003467,,,
8.8e-05,,0.191489,0.046956,,,,,UP
,4,0.212766,0.046956,,,,0.414912,UP
8.8e-05,4,,,,0.003467,0.422915,,UP
,,,,,0.003467,0.422915,0.414912,
,,0.276596,0.047106,0.403451,0.003467,0.422915,,UP
8.8e-05,4,0.297872,,,,,,UP
,4,,0.041161,0.465486,0.003467,0.422915,0.414912,
8.8e-05,,,,0.490777,,0.422915,,DOWN
,,0.361702,0.041161,0.493603,0.003467,0.422915,,DOWN
,4,,0.045515,,,0.422915,0.414912,UP
,,,,0.531836,,0.422915,,UP
8.8e-05,,,0.046956,0.520976,0.003467,0.422915,,
,,0.446809,,,0.003467,,0.414912,
,,,,,,0.422915,,UP
8.8e-05,4,0.489362,0.047106,,,0.422915,0.414912,UP
8.8e-05,4,0.510638,0.047106,,,,0.414912,UP
,,,,,0.003467,0.422915,0.414912,
,,,0.047436,0.474412,0.003467,0.422915,,UP
,4,,0.047106,,0.003467,,,UP
,4,,0.047106,0.458792,,,,UP
,,0.617021,0.047106,,,0.422915,0.414912,UP
8.8e-05,4,0.638298,0.046956,0.439601,0.003467,,0.414912,
8.8e-05,,0.659574,,,0.003467,0.422915,0.414912,UP
8.8e-05,,,,,,0.422915,0.414912,
8.8e-05,,0.702128,0.042482,0.468015,0.003467,0.422915,0.414912,
,4,0.723404,0.046956,,,,0.414912,UP
,4,0.744681,,0.592086,,,,UP
,4,,,0.584796,,0.422915,0.414912,UP
8.8e-05,4,0.787234,,,,,,DOWN
8.8e-05,,0.808511,0.040711,,,0.422915,,DOWN
8.8e-05,4,,0.040711,,0.003467,,0.414912,
,,,0.042482,0.473817,,0.422915,0.414912,DOWN
8.8e-05,4,,0.041882,0.453585,,,0.414912,
,4,,,0.407468,0.003467,,0.414912,
,,0.914894,,,,0.422915,0.414912,UP
8.8e-05,,0.93617,0.056443,0.422345,0.003467,,,UP
8.8e-05,4,,,,0.003467,,0.414912,UP
,4,,,0.46385,0.003467,0.422915,0.414912,
8.8e-05,,,,,,,0.414912,
0.000133,5,0.0,,,,,,UP
,,,0.075868,0.434543,0.003467,0.422915,,
0.000133,,,,0.395567,,,,UP
0.000133,5,0.06383,0.075267,0.327879,,,,UP
0.000133,5,0.085106,0.075868,0.273282,,0.422915,0.414912,UP
,,0.106383,,,,0.422915,0.414912,
,,,,0.187295,,0.422915,0.414912,UP
,,,0.073976,,0.003467,0.422915,0.414912,UP
0.000133,5,0.170213,0.076948,0.154418,,0.422915,0.414912,UP
,5,0.191489,,0.159625,0.003467,,,
0.000133,,0.212766,0.074367,0.182981,0.003467,,,
0.000133,,0.234043,0.076948,0.226867,0.003467,,0.414912,
0.000133,,0.255319,0.077999,0.314192,,0.422915,,UP
0.000133,5,0.276596,0.077039,0.401517,,0.422915,,UP
0.000133,,0.297872,,,0.003467,,0.414912,
0.000133,5,,0.089798,,,,,UP
0.000133,,0.340426,,0.496727,0.003467,,,UP
0.000133,,0.361702,0.089798,,0.003467,0.422915,,
0.000133,5,,0.149664,,0.003467,0.422915,0.414912,
0.000133,5,0.404255,,,,0.422915,,
,,,0.089798,0.535257,0.003467,,0.414912,
0.000133,,0.446809,,,,,0.414912,UP
0.000133,5,,0.047676,,,,0.414912,
0.000133,,,,,,0.422915,,UP
0.000133,,,,0.485272,,,0.414912,
0.000133,,0.531915,,0.482594,,,0.414912,
0.000133,5,,0.194548,,,,0.414912,
,5,,0.193287,0.468164,,,0.414912,
,5,0.595745,0.139636,0.461619,0.003467,0.422915,,
0.000133,,0.617021,0.149664,,0.003467,,0.414912,UP
,,0.638298,0.089798,0.439453,,,,
,,0.659574,0.089798,0.438411,0.003467,,0.414912,UP
0.000133,5,,,,,,,
0.000133,,0.702128,0.089798,0.458792,,,0.414912,
,,0.723404,,0.499554,0.003467,,0.414912,
,,,0.077039,0.54939,0.003467,,,DOWN
,5,,,,0.003467,0.422915,,DOWN
,5,,,,0.003467,0.422915,0.414912,
,5,,,,,0.422915,0.414912,DOWN
,5,,0.074036,0.429485,,,0.414912,DOWN
,,,0.047586,0.399137,,,,DOWN
,,,0.047586,0.376525,,,,
,,0.893617,,0.352127,,0.422915,,
0.000133,5,,0.047586,,0.003467,,,
0.000133,,,0.072835,,0.003467,,0.414912,DOWN
0.000133,5,0.957447,,,0.003467,,,DOWN
,,0.978723,,0.43856,0.003467,,,
0.000133,,,,0.435436,0.003467,,,
,,,0.076948,0.436924,,,0.414912,
,,0.021277,,0.407468,0.003467,,,DOWN
0.000177,6,0.042553,,,0.003467,0.422915,,
,6,,0.072835,,,,,DOWN
0.000177,,,0.071905,,0.003467,,,DOWN
0.000177,6,0.106383,0.046956,,,,,DOWN
,,,,,0.003467,0.422915,,DOWN
0.000177,6,0.148936,0.046806,,0.003467,,,DOWN
,,,,,0.003467,,0.414912,DOWN
0.000177,,0.191489,0.046956,,,0.422915,0.414912,DOWN
,,0.212766,0.046956,,,0.422915,0.414912,DOWN
,6,,,,,,0.414912,
,,0.255319,0.062417,,,,0.414912,
