white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
,1,b,3,c,2,draw
a,1,c,1,c,2,draw
a,1,c,1,d,1,draw
a,1,c,1,d,2,draw
a,1,c,2,,1,draw
,1,c,2,c,,draw
a,1,c,2,d,,draw
a,1,c,2,d,2,
a,1,c,2,d,3,draw
a,1,c,3,c,2,draw
a,1,c,3,d,2,draw
a,1,c,3,d,3,draw
a,1,c,3,d,4,draw
a,1,,4,d,3,draw
a,1,d,1,,1,draw
a,1,d,1,c,2,
a,1,d,,d,2,draw
a,1,d,1,e,1,draw
,1,,1,e,,draw
a,1,d,2,c,,draw
a,1,,2,c,2,draw
a,1,,2,c,3,draw
a,1,d,2,d,1,
a,1,d,2,d,3,draw
a,1,d,,e,1,draw
a,1,d,2,e,2,draw
a,1,d,2,e,3,
a,,d,3,c,2,draw
a,1,d,3,c,3,draw
a,1,d,3,d,2,draw
,1,d,3,,4,draw
a,1,d,,e,2,draw
a,1,d,3,e,3,draw
,1,d,3,e,4,
a,1,d,4,c,3,draw
a,1,d,4,d,3,draw
a,,,4,e,3,draw
a,1,d,4,e,4,draw
a,1,d,4,e,5,draw
,1,d,5,e,4,draw
a,1,e,1,d,1,draw
a,1,,1,d,2,draw
a,1,e,,e,2,draw
a,1,e,1,f,1,draw
a,,e,1,f,2,draw
a,1,,2,d,1,draw
a,1,e,,,2,draw
a,1,,2,d,3,draw
a,1,e,2,e,1,draw
a,1,e,2,e,3,draw
,,,,,1,
,1,e,2,f,2,draw
a,1,e,2,f,3,
a,,e,3,d,2,draw
a,,e,,d,3,draw
a,1,e,3,d,4,draw
a,1,e,3,e,,draw
a,1,e,3,e,4,draw
a,1,e,3,f,2,draw
a,1,e,3,f,3,draw
a,1,e,3,f,4,draw
a,1,e,4,d,3,draw
a,1,e,4,d,4,draw
a,1,e,4,e,3,draw
a,,e,4,e,5,draw
a,1,e,,f,,draw
a,1,e,4,f,,draw
a,,e,4,f,5,draw
a,1,e,5,d,4,draw
,1,e,5,e,4,draw
a,1,e,5,f,4,draw
a,,,5,f,5,draw
a,1,e,5,f,6,draw
a,1,e,6,f,5,draw
,1,f,1,e,1,draw
a,1,f,1,e,2,
,1,f,1,f,2,draw
a,1,f,1,g,1,draw
a,1,f,1,g,,draw
a,1,f,2,e,1,draw
a,1,f,2,e,2,draw
a,1,,2,e,3,draw
a,1,f,2,f,1,
a,1,f,2,f,3,draw
a,1,f,2,g,1,draw
a,1,f,2,g,2,
,1,f,2,g,3,
a,1,,3,e,2,draw
a,,f,3,e,3,draw
a,1,f,3,e,,draw
a,1,,3,f,2,draw
a,1,f,3,f,4,draw
a,1,f,3,g,2,draw
,1,f,3,g,,draw
a,,f,3,g,4,draw
a,1,f,4,e,3,draw
a,1,f,4,e,4,draw
a,1,f,4,e,5,draw
a,1,f,4,f,3,draw
a,1,f,4,f,5,draw
a,1,f,4,g,3,draw
a,1,f,4,g,4,draw
a,1,,4,,5,draw
a,1,f,5,e,4,draw
a,1,f,5,,5,draw
a,1,f,5,f,4,draw
a,1,f,5,f,6,draw
a,1,f,5,g,4,draw
a,1,f,5,g,5,draw
a,1,f,5,g,,draw
a,1,f,6,e,5,draw
a,1,f,6,,5,draw
a,1,,,g,5,draw
,1,f,6,g,6,draw
,1,f,,g,7,draw
a,,f,7,g,6,draw
a,1,g,,f,1,draw
a,1,g,1,f,2,draw
a,1,g,1,g,2,draw
a,1,g,1,h,,draw
,1,g,1,h,2,draw
a,,g,2,f,1,draw
a,1,g,2,f,2,draw
,1,g,2,f,3,draw
a,1,g,2,g,1,draw
,1,g,2,,3,draw
a,1,g,2,h,1,draw
a,1,g,2,h,2,draw
a,1,g,2,,,draw
,1,g,3,f,2,draw
a,1,g,3,f,3,draw
a,1,g,3,f,4,draw
a,1,g,3,g,2,draw
a,1,g,3,g,4,
a,,g,3,h,2,draw
,1,g,3,h,3,draw
,1,g,3,h,4,draw
a,1,,4,f,3,draw
a,1,g,4,f,4,draw
,1,,4,f,5,
a,1,g,4,g,3,draw
a,1,g,4,g,,
a,1,g,4,h,3,
a,1,,4,h,4,draw
a,1,g,,h,5,draw
a,1,g,,f,4,draw
a,1,g,5,,5,
a,1,g,5,,,draw
a,1,g,5,g,4,draw
a,1,,5,,,draw
a,1,g,,h,,
a,1,g,5,h,5,
a,1,g,5,h,6,draw
a,1,g,6,f,5,draw
a,1,g,6,,6,draw
a,1,g,6,g,,draw
a,1,g,6,g,7,draw
a,1,g,6,h,5,draw
a,1,g,6,h,6,draw
a,1,g,6,h,7,draw
a,1,g,,f,6,
a,1,g,7,g,6,draw
a,1,g,7,,6,draw
a,1,g,7,h,7,draw
a,,g,7,h,8,draw
,1,g,8,h,7,draw
a,,h,,g,1,draw
a,1,h,1,g,2,draw
a,1,h,1,h,2,draw
a,1,h,2,g,1,draw
a,1,h,2,g,2,
,1,h,2,g,3,draw
a,1,h,2,,1,draw
,1,h,2,h,3,draw
a,,h,3,g,2,draw
a,1,h,3,g,3,draw
a,,h,3,g,4,draw
a,1,h,3,h,2,draw
a,1,h,3,h,4,draw
a,1,h,4,,3,draw
a,,h,4,g,,
a,1,h,4,g,5,draw
a,1,h,4,h,3,draw
a,1,h,,h,5,draw
a,1,h,5,g,4,draw
a,,h,5,g,5,draw
a,,,5,g,6,draw
a,1,h,5,h,4,draw
a,,,5,h,6,draw
a,1,h,6,g,5,draw
a,,h,6,g,6,draw
a,1,h,6,g,7,draw
a,1,h,6,h,5,draw
a,1,h,6,h,7,draw
a,1,h,7,g,6,draw
a,1,h,7,g,,draw
a,1,h,7,h,,draw
a,1,h,7,h,8,draw
a,1,h,8,g,7,draw
a,1,h,8,h,7,draw
b,,a,3,,4,draw
b,1,a,3,b,3,
b,1,a,3,b,4,draw
b,1,a,4,a,3,draw
b,1,a,4,a,5,draw
b,1,a,4,b,3,
b,,a,,b,4,
b,1,a,4,b,5,draw
,1,a,5,a,4,draw
b,,,5,a,6,
b,1,a,5,,4,draw
b,1,,5,b,5,draw
b,,a,5,b,6,draw
b,1,a,6,a,5,draw
,1,a,6,a,7,draw
b,1,a,6,b,5,draw
b,1,a,6,b,6,
b,1,a,6,b,7,draw
b,1,,7,a,6,
b,,,7,a,8,draw
b,1,a,7,b,6,draw
b,1,a,,b,7,
b,1,,7,b,8,draw
b,1,a,8,,,draw
b,1,a,8,b,7,draw
b,1,a,8,b,8,draw
b,1,b,3,a,,draw
b,1,b,3,a,4,draw
b,1,b,3,b,,draw
b,1,b,3,c,3,draw
,,b,3,c,,
b,1,b,,a,3,draw
b,1,b,4,a,4,
b,1,,4,a,5,
,,b,4,b,,draw
b,1,b,4,b,5,draw
b,,b,4,c,3,draw
b,1,b,,c,4,draw
b,1,b,,c,5,
b,1,b,5,,4,draw
b,1,,5,a,5,draw
b,1,b,5,,6,draw
,1,b,5,b,,draw
b,1,b,5,b,6,draw
b,1,b,,c,4,draw
b,1,b,5,c,5,draw
b,1,b,,c,6,draw
b,1,b,6,a,5,draw
b,1,b,6,a,6,draw
b,1,b,6,a,7,draw
,1,b,6,b,5,draw
b,1,b,6,b,7,draw
b,1,b,6,c,5,
b,1,b,6,c,,draw
b,1,b,6,c,7,draw
b,1,b,7,a,,draw
b,1,b,7,a,7,draw
,1,b,7,a,8,draw
b,1,,7,b,6,draw
b,1,b,,b,8,draw
b,,b,7,c,6,draw
b,1,,7,c,7,draw
b,1,b,7,c,8,draw
b,1,b,8,a,7,draw
