height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
5.0,7.0,35.0,,0.4,0.657,2.33,14.0,23.0,6.0,1
6.0,7.0,42.0,1.167,0.429,0.881,3.6,18.0,37.0,5.0,1
6.0,18.0,108.0,3.0,0.287,0.741,4.43,,80.0,,1
5.0,,35.0,1.4,0.371,0.743,4.33,13.0,26.0,3.0,1
6.0,3.0,18.0,0.5,0.5,0.944,2.25,9.0,17.0,4.0,1
5.0,8.0,40.0,1.6,,1.0,2.44,22.0,40.0,9.0,1
,4.0,24.0,0.667,0.417,0.708,2.5,10.0,17.0,4.0,1
5.0,6.0,30.0,1.2,0.333,0.333,10.0,10.0,10.0,1.0,1
5.0,5.0,25.0,1.0,0.4,0.52,,10.0,13.0,1.0,
5.0,7.0,35.0,1.4,0.486,0.914,8.5,,32.0,2.0,1
5.0,2.0,10.0,0.4,0.8,1.0,8.0,8.0,10.0,1.0,1
5.0,3.0,15.0,,0.533,0.733,8.0,8.0,11.0,1.0,1
5.0,6.0,30.0,,0.433,0.733,13.0,13.0,22.0,1.0,1
5.0,7.0,,1.4,0.429,0.857,5.0,15.0,,,1
6.0,7.0,42.0,1.167,,0.881,4.25,17.0,37.0,4.0,1
5.0,8.0,40.0,1.6,0.375,0.475,15.0,15.0,19.0,1.0,1
6.0,,42.0,1.167,0.405,0.952,4.25,17.0,40.0,4.0,1
5.0,19.0,95.0,3.8,0.232,0.4,5.5,22.0,38.0,4.0,
5.0,5.0,25.0,1.0,,0.56,5.0,,14.0,2.0,1
4.0,6.0,24.0,1.5,0.417,0.5,10.0,10.0,12.0,1.0,1
,6.0,24.0,1.5,0.458,0.792,5.5,11.0,19.0,2.0,1
4.0,18.0,72.0,,0.25,0.528,2.57,18.0,38.0,7.0,1
6.0,7.0,42.0,1.167,0.357,0.548,7.5,15.0,23.0,2.0,1
5.0,7.0,35.0,1.4,0.429,0.886,2.5,15.0,31.0,6.0,1
5.0,4.0,20.0,0.8,0.5,,,10.0,16.0,1.0,1
13.0,25.0,325.0,1.923,0.234,0.286,10.86,76.0,93.0,7.0,1
13.0,25.0,325.0,1.923,0.351,0.68,6.0,114.0,221.0,19.0,1
7.0,16.0,112.0,2.286,0.321,0.643,2.57,36.0,72.0,14.0,1
7.0,103.0,721.0,14.714,0.295,0.691,1.76,213.0,498.0,121.0,1
11.0,9.0,99.0,0.818,0.343,0.626,3.4,34.0,62.0,10.0,1
11.0,,88.0,0.727,0.58,1.0,5.1,51.0,88.0,10.0,1
11.0,8.0,88.0,0.727,0.409,0.477,36.0,36.0,42.0,1.0,1
11.0,8.0,88.0,0.727,0.602,1.0,5.89,53.0,88.0,9.0,1
11.0,,385.0,,0.382,0.657,,147.0,,24.0,1
3.0,113.0,339.0,37.667,0.41,0.472,13.9,139.0,160.0,10.0,2
3.0,59.0,177.0,,0.475,0.475,84.0,84.0,,1.0,2
,20.0,40.0,10.0,0.675,0.675,27.0,27.0,27.0,1.0,
2.0,101.0,202.0,50.5,0.54,0.743,,109.0,150.0,10.0,2
10.0,38.0,380.0,3.8,0.426,0.947,3.12,162.0,360.0,52.0,1
9.0,21.0,189.0,2.333,0.429,0.772,3.0,81.0,146.0,27.0,1
9.0,37.0,333.0,4.111,0.532,0.913,3.22,177.0,,55.0,1
10.0,98.0,980.0,9.8,0.379,0.835,,371.0,818.0,167.0,1
9.0,50.0,450.0,5.556,0.496,0.958,2.69,223.0,431.0,83.0,1
4.0,194.0,776.0,48.5,0.263,0.273,34.0,204.0,212.0,6.0,
2.0,18.0,36.0,9.0,0.667,0.694,24.0,24.0,25.0,1.0,2
2.0,22.0,44.0,11.0,0.75,0.75,,33.0,33.0,1.0,2
2.0,,36.0,9.0,0.806,0.833,29.0,29.0,30.0,1.0,2
2.0,22.0,,11.0,0.705,0.864,15.5,31.0,38.0,2.0,2
10.0,66.0,660.0,6.6,0.273,0.661,1.94,180.0,436.0,93.0,1
9.0,90.0,810.0,10.0,0.26,0.786,2.18,211.0,637.0,97.0,1
9.0,22.0,198.0,2.444,0.288,0.818,2.48,57.0,162.0,23.0,1
9.0,92.0,828.0,10.222,0.286,0.885,,237.0,733.0,123.0,1
9.0,12.0,108.0,1.333,0.444,0.981,1.71,48.0,106.0,28.0,1
9.0,51.0,459.0,5.667,0.296,0.786,2.34,136.0,,58.0,1
9.0,34.0,306.0,3.778,0.32,0.886,1.56,98.0,271.0,63.0,1
9.0,80.0,720.0,8.889,0.333,0.878,,240.0,632.0,119.0,1
8.0,,760.0,11.875,0.303,0.937,1.77,230.0,712.0,130.0,1
11.0,99.0,1089.0,9.0,0.23,0.601,2.14,250.0,654.0,117.0,1
10.0,12.0,120.0,1.2,0.367,1.0,1.69,44.0,120.0,26.0,1
10.0,53.0,,5.3,0.294,0.819,1.79,156.0,434.0,87.0,1
9.0,92.0,828.0,10.222,0.292,0.843,2.05,,698.0,118.0,1
11.0,85.0,935.0,7.727,0.257,0.894,1.67,,836.0,,1
9.0,83.0,747.0,9.222,0.284,0.849,1.91,212.0,634.0,111.0,1
9.0,12.0,108.0,1.333,0.454,1.0,1.69,49.0,108.0,29.0,1
9.0,64.0,576.0,7.111,0.299,0.97,1.81,172.0,,95.0,1
11.0,102.0,1122.0,9.273,0.223,0.768,1.53,250.0,862.0,163.0,1
12.0,12.0,144.0,,,0.979,1.69,,141.0,26.0,1
12.0,,,4.667,0.256,0.827,2.02,172.0,556.0,85.0,1
9.0,84.0,,9.333,0.222,0.937,1.81,168.0,708.0,,1
9.0,54.0,486.0,,0.292,,1.48,142.0,465.0,96.0,1
9.0,41.0,369.0,4.556,,0.775,1.9,110.0,,,1
,83.0,,8.3,0.266,0.827,2.1,221.0,,105.0,1
10.0,4.0,40.0,0.4,0.375,0.4,15.0,15.0,16.0,1.0,
12.0,11.0,132.0,0.917,0.371,,1.63,49.0,132.0,,1
12.0,44.0,528.0,3.667,0.261,0.767,2.38,138.0,,,1
10.0,34.0,340.0,3.4,,,1.71,101.0,301.0,59.0,1
9.0,76.0,684.0,8.444,0.307,0.882,,210.0,603.0,114.0,1
12.0,14.0,168.0,1.167,,0.958,2.31,60.0,161.0,26.0,1
12.0,7.0,84.0,0.583,0.214,0.583,3.6,18.0,49.0,5.0,1
12.0,44.0,528.0,3.667,0.294,0.742,2.31,155.0,392.0,67.0,1
10.0,63.0,630.0,6.3,0.233,0.705,1.69,147.0,444.0,87.0,1
9.0,32.0,288.0,,0.271,0.594,2.23,78.0,171.0,35.0,1
3.0,116.0,348.0,38.667,0.385,0.494,,134.0,172.0,4.0,2
1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,1.0,2
1.0,13.0,13.0,13.0,1.0,1.0,13.0,,,1.0,2
1.0,8.0,8.0,8.0,1.0,1.0,,8.0,,1.0,2
,44.0,44.0,44.0,0.25,1.0,2.2,11.0,44.0,5.0,2
,20.0,40.0,10.0,0.725,0.875,,29.0,35.0,1.0,2
2.0,20.0,40.0,10.0,0.775,0.85,31.0,31.0,34.0,1.0,2
13.0,10.0,130.0,0.769,0.3,0.808,6.5,39.0,105.0,6.0,1
,86.0,946.0,7.818,0.413,0.853,3.1,391.0,807.0,,
11.0,,220.0,1.818,0.168,0.75,3.36,37.0,165.0,11.0,1
,5.0,,0.556,0.378,,2.83,,42.0,6.0,1
8.0,,24.0,0.375,0.417,0.417,10.0,10.0,10.0,1.0,
3.0,113.0,339.0,37.667,0.357,0.378,30.25,121.0,128.0,4.0,2
,3.0,294.0,0.031,0.48,0.486,141.0,141.0,143.0,1.0,4
2.0,48.0,96.0,24.0,0.625,0.677,30.0,60.0,65.0,2.0,2
11.0,,715.0,5.909,0.39,0.877,2.61,279.0,627.0,107.0,
9.0,37.0,,4.111,,0.898,,175.0,299.0,55.0,1
9.0,,189.0,2.333,0.291,0.762,1.57,55.0,144.0,35.0,1
8.0,8.0,64.0,,0.234,,5.0,15.0,21.0,3.0,1
10.0,100.0,1000.0,10.0,,0.91,2.53,436.0,910.0,172.0,1
9.0,85.0,765.0,9.444,,0.812,1.82,231.0,621.0,127.0,1
9.0,32.0,288.0,3.556,0.302,0.781,2.07,87.0,,42.0,1
11.0,101.0,1111.0,9.182,0.398,0.888,2.76,442.0,987.0,160.0,1
11.0,119.0,1309.0,10.818,0.261,0.798,1.88,341.0,1045.0,181.0,1
10.0,126.0,1260.0,12.6,0.425,0.862,2.68,,1086.0,200.0,1
,13.0,117.0,1.444,0.239,0.462,,28.0,54.0,6.0,1
,75.0,675.0,8.333,0.256,0.606,2.19,173.0,409.0,79.0,1
11.0,,1309.0,10.818,0.236,0.747,1.75,309.0,978.0,177.0,1
10.0,44.0,440.0,4.4,0.393,0.852,3.15,173.0,375.0,,1
9.0,40.0,360.0,4.444,0.356,0.967,2.29,128.0,348.0,56.0,1
8.0,48.0,384.0,6.0,0.302,,1.76,,351.0,,1
9.0,44.0,396.0,4.889,0.46,0.937,2.84,182.0,371.0,64.0,1
,47.0,,5.222,0.274,0.747,2.42,116.0,316.0,48.0,1
9.0,,360.0,,0.319,0.919,2.35,115.0,331.0,49.0,1
3.0,116.0,348.0,38.667,0.356,0.371,62.0,124.0,129.0,2.0,2
2.0,18.0,36.0,9.0,0.722,0.722,26.0,26.0,26.0,1.0,2
,132.0,396.0,44.0,0.505,,20.0,200.0,,10.0,2
1.0,17.0,17.0,17.0,0.765,1.0,3.25,13.0,17.0,4.0,2
,8.0,,8.0,1.0,1.0,8.0,8.0,8.0,1.0,2
2.0,69.0,138.0,34.5,0.623,0.906,10.75,86.0,125.0,8.0,2
2.0,46.0,92.0,23.0,0.587,,18.0,,70.0,3.0,2
11.0,77.0,847.0,7.0,0.345,0.874,2.43,292.0,740.0,120.0,1
9.0,41.0,369.0,4.556,0.301,0.886,1.91,,327.0,58.0,1
,57.0,57.0,57.0,0.456,1.0,3.71,26.0,57.0,7.0,2
1.0,10.0,10.0,10.0,0.9,1.0,9.0,9.0,10.0,1.0,2
14.0,185.0,,,0.254,0.651,,,1687.0,289.0,1
10.0,,1520.0,15.2,0.297,0.778,2.17,452.0,1182.0,208.0,1
2.0,116.0,232.0,58.0,0.616,0.802,17.88,143.0,186.0,8.0,
9.0,123.0,1107.0,13.667,0.362,0.986,2.62,401.0,1091.0,153.0,1
2.0,17.0,34.0,8.5,0.588,0.971,6.67,20.0,33.0,3.0,2
10.0,131.0,,13.1,0.415,0.857,2.74,543.0,1123.0,198.0,1
,12.0,12.0,12.0,0.583,1.0,3.5,7.0,12.0,,1
6.0,27.0,162.0,4.5,0.154,0.481,,25.0,78.0,9.0,1
7.0,15.0,105.0,2.143,0.324,0.762,3.09,34.0,80.0,11.0,1
7.0,,406.0,8.286,0.202,0.751,2.34,82.0,,35.0,1
7.0,46.0,322.0,6.571,0.155,0.587,4.17,50.0,189.0,,1
1.0,27.0,27.0,27.0,0.593,1.0,4.0,16.0,27.0,,
7.0,,119.0,,0.227,0.58,2.7,,69.0,,1
