attr1,attr2,attr3,attr4,attr5,attr6,class
0.23001961,,,,,0.4803223,-1
0.15549112,-0.16939038,,-0.85955255,,-0.94572324,-1
,,5.6747053,-0.85955255,,-0.94572324,
0.54608818,,,-0.85955255,-0.37786573,-0.94572324,-1
,,,,,,
-0.18039525,-0.38172329,,0.77294998,,,
-0.068602514,,-0.18589744,,,,-1
,,,-0.85955255,-0.37786573,-0.94572324,
,,0.62557063,1.1974259,,1.0105187,
,,-0.59163147,-0.85955255,-0.37786573,,
,,,,-0.37786573,,
-0.78441482,,-0.59163147,,-0.37786573,,-1
0.77509391,-0.44365372,-0.50146835,,-0.37786573,,
,1.5867797,-0.27606055,,-0.37786573,0.80940974,
,,,,,,-1
0.3860213,1.7769946,,,-0.37786573,0.89777581,-1
-0.78441482,,,,,-0.94572324,-1
,-0.27998044,-0.27606055,-0.85955255,-0.37786573,,
,,-0.59163147,-0.85955255,,-0.94572324,-1
-0.78441482,-0.47019533,,,,-0.94572324,
,2.7280691,-0.050652758,,0.79101616,0.65400734,
,,,1.3780181,-0.37786573,,-1
-0.44226128,,,-0.19414637,0.1270441,1.278664,-1
-0.78441482,,-0.59163147,-0.85955255,,-0.94572324,-1
-0.78441482,-0.47019533,,,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,,,,,-1
,-0.47019533,,,-0.37786573,-0.94572324,
0.60164578,,,0.88560911,0.72806294,,
,-0.17381398,-0.18589744,,-0.37786573,1.1659211,
-0.29540627,,0.039510361,,,-0.94572324,-1
0.22239738,,-0.095734317,,-0.37786573,,-1
,0.5781984,,,-0.37786573,-0.94572324,
,,0.85097843,0.42526787,0.74050871,,
-0.18276662,,,,0.62675172,1.306088,
-0.78441482,,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.0071116601,,0.58048907,,-0.37786573,,-1
-0.32267692,,,,-0.37786573,,
,-0.47019533,,-0.85955255,,,-1
,,0.26491816,0.60206253,-0.37786573,1.2055335,-1
,-0.47019533,,,-0.37786573,,-1
,-0.47019533,,-0.85955255,,-0.94572324,-1
-0.18446045,,,,-0.37786573,1.0866964,-1
,,,,-0.37786573,,-1
1.6330185,4.6788777,-0.45638679,,,,
-0.78441482,,,-0.85955255,,,-1
1.5591675,5.0504603,,,,0.30968437,-1
,0.05178973,0.44524439,,1.0542212,1.1415443,-1
-0.78441482,-0.47019533,,,,,-1
,-0.47019533,-0.59163147,-0.85955255,,-0.94572324,-1
-0.065553621,-0.32864006,-0.32114211,,-0.37786573,,-1
0.095190789,-0.29767485,,,,,
,,,0.74636748,0.61842161,,-1
,-0.38614689,,-0.024102819,,,
0.13719776,-0.36845248,-0.095734317,,-0.37786573,-0.94572324,
