speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
1,1.0,,1.860936,,0.261557,-0.214562,-0.171253,-0.118167,-0.277557,,0.126701,-0.306756,-0.213076,0.088728
1,,2.0,,,0.235363,,,,-0.311997,-0.027122,0.171457,-0.289431,-0.247722,0.093011
,,3.0,1.939205,,,-0.291458,,-0.102034,-0.3833,,0.16951,-0.314894,-0.227908,0.074638
1,1.0,4.0,1.717517,-0.218572,0.217119,,-0.018608,-0.137624,,-0.009643,0.164607,-0.323267,,
1,1.0,5.0,,-0.279891,,,-0.032012,-0.090612,-0.363134,-0.012571,0.124298,-0.351171,-0.216545,
,1.0,6.0,,-0.311977,0.195453,-0.23197,,-0.003822,-0.34194,-0.008826,0.085097,-0.364329,-0.204794,
,1.0,7.0,1.637373,-0.336227,,-0.223842,,-0.009157,-0.363866,-0.003117,,-0.358107,-0.181643,0.082056
1,1.0,8.0,,,0.131553,-0.154519,-0.035292,0.023719,-0.381399,-0.021189,0.020397,-0.340491,-0.156417,
1,1.0,,1.60703,,0.179038,,-0.060406,0.0578,-0.364642,-0.06923,,-0.355996,,0.131928
1,1.0,10.0,1.617907,,0.179878,-0.083292,0.031747,0.081424,-0.418227,,-0.022385,-0.33766,-0.103184,0.102266
,1.0,11.0,1.51035,-0.548025,0.13193,-0.028036,0.104782,,-0.416792,-0.120635,-0.056442,-0.30885,-0.099587,0.103529
1,1.0,12.0,1.371225,-0.470988,0.043163,,0.165104,0.09589,-0.416692,,,-0.326813,,0.141055
1,1.0,,1.299045,-0.495095,0.029375,0.026418,,,,-0.191542,-0.103774,-0.322266,-0.066122,0.130722
1,1.0,14.0,,-0.50008,,0.095565,,0.055463,-0.374477,,,-0.296219,,
1,,15.0,,-0.496439,-0.075193,,0.294219,0.009977,-0.4003,-0.233576,,-0.236504,-0.096844,0.010373
1,1.0,16.0,,,,0.156674,,-0.029372,,,,,-0.068804,-0.041047
1,1.0,17.0,1.19499,-0.510964,0.065827,0.175791,0.353618,,-0.483034,,,-0.220477,,-0.085436
1,1.0,18.0,,-0.564878,0.162907,,,-0.103597,,-0.036123,-0.218547,-0.204974,,-0.136857
,1.0,,1.250698,-0.612291,0.205701,,,-0.135327,,-0.008747,,-0.212982,-0.02357,-0.170498
,,,1.261441,,0.217443,0.263384,0.391115,,-0.510697,0.020526,-0.217709,-0.219071,,-0.175986
1,,,1.303905,0.067256,,-0.271474,-0.236808,,,,-0.05823,,0.093058,0.099247
1,2.0,2.0,,,0.631579,-0.355112,-0.119216,-0.434425,-0.078036,0.178121,-0.10643,-0.18191,0.093031,0.099183
,2.0,,1.332021,-0.058744,0.601928,-0.347913,,-0.421753,-0.028479,,-0.159488,-0.127751,,
1,2.0,,1.43655,-0.206565,,-0.391073,-0.103646,,-0.070016,0.138611,-0.125229,,,0.065927
1,2.0,,1.510069,-0.30888,0.614297,-0.283639,-0.178763,-0.267168,-0.03463,,,-0.220531,-0.061329,
,,6.0,1.492324,-0.413803,0.583179,-0.197519,-0.242376,,-0.026315,0.178486,-0.12212,-0.256385,-0.038403,0.06447
,2.0,7.0,1.731416,-0.615714,0.624905,-0.241347,-0.158116,-0.18676,,0.09242,-0.203755,-0.1862,-0.100484,0.045003
1,2.0,8.0,,-0.489726,0.366389,,-0.018003,-0.252819,,0.01874,,-0.13658,-0.24575,0.052947
1,2.0,9.0,,-0.309991,0.107469,0.015034,-0.04191,-0.217401,0.067056,,-0.163025,-0.229586,,0.038727
1,,10.0,1.981364,-0.630689,0.261975,,0.076403,-0.257617,-0.015961,0.017001,-0.232117,-0.217084,-0.192819,
1,2.0,11.0,,,0.091516,,0.165614,,-0.046723,-0.034998,-0.210997,-0.221234,-0.175446,0.072476
1,,12.0,,,,,0.250247,,-0.121802,,-0.280562,-0.177655,-0.1194,0.011129
1,2.0,13.0,,-0.507225,0.278858,-0.058031,0.28728,-0.155876,-0.104452,-0.085458,-0.320138,-0.125466,-0.101151,
1,2.0,14.0,,-0.530376,0.363522,-0.087405,,-0.116625,-0.04708,-0.164929,,-0.086459,-0.096591,
1,2.0,15.0,1.592347,-0.596831,0.39001,,0.198339,-0.130853,,,,-0.056789,-0.094819,
1,,16.0,1.674087,,0.38017,0.048824,0.221404,-0.180924,,,-0.321056,-0.098248,-0.162255,0.202347
,2.0,17.0,1.681482,-0.614351,0.381238,,,-0.193816,-0.012821,-0.211565,-0.302557,-0.136598,,
1,2.0,18.0,,,0.511363,-0.02978,,-0.15943,-0.057186,-0.127571,,-0.091613,,0.154534
