V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
,,0.36,20.7,,45.0,,,,,,
6.3,,,,0.049,14.0,,0.994,3.3,,,4
8.1,,0.4,6.9,0.05,30.0,,0.9951,3.26,,,4
7.2,,0.32,8.5,,47.0,186.0,,3.19,0.4,,4
7.2,0.23,0.32,8.5,0.058,47.0,186.0,,3.19,,9.9,
8.1,,,6.9,0.05,30.0,,0.9951,3.26,0.44,,4
6.2,0.32,0.16,7.0,0.045,30.0,136.0,,3.18,0.47,9.6,
7.0,0.27,0.36,20.7,,45.0,170.0,1.001,3.0,0.45,8.8,4
,0.3,0.34,,0.049,14.0,132.0,,3.3,0.49,9.5,
,0.22,0.43,1.5,,28.0,129.0,0.9938,,0.45,11.0,4
8.1,0.27,0.41,1.45,0.033,11.0,63.0,,,,12.0,
8.6,0.23,0.4,4.2,,,109.0,0.9947,3.14,,9.7,3
7.9,0.18,0.37,1.2,0.04,,75.0,0.992,3.18,0.63,10.8,
6.6,0.16,0.4,1.5,,48.0,143.0,,,0.52,12.4,5
,,,19.25,0.04,41.0,,,2.98,0.67,9.7,3
,,0.38,1.5,,,112.0,0.9914,3.25,,11.4,5
6.3,,,1.1,0.046,30.0,,,3.24,,9.6,4
,0.66,0.48,1.2,0.029,29.0,,0.9892,,0.39,,6
,,0.42,1.1,0.033,17.0,,,,0.53,11.3,
,0.31,,,,34.0,133.0,0.9955,3.22,0.5,9.5,3
6.2,,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,,6
6.4,0.31,,,0.038,19.0,102.0,0.9912,,0.35,11.0,
,,,1.7,0.049,41.0,122.0,,3.47,0.48,10.5,6
,,0.14,,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,3
,0.27,,,0.052,,,0.9951,3.42,0.47,10.0,
,0.25,0.32,,0.046,,245.0,0.9955,3.25,,10.4,
6.9,0.24,0.35,,0.052,35.0,146.0,0.993,,,,4
7.0,0.28,0.39,,0.051,32.0,141.0,0.9961,,,10.5,4
7.4,0.27,0.48,1.1,0.047,17.0,,,3.19,0.49,11.6,4
,0.32,0.36,,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,5
8.5,,0.39,10.4,0.044,20.0,142.0,,3.2,0.53,10.0,4
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,,4
6.2,,,1.5,0.045,,,0.9939,3.42,0.51,9.0,
5.8,,0.2,14.95,,22.0,,0.9962,3.37,0.37,10.2,3
7.3,0.28,0.43,,0.08,,123.0,,,0.42,12.8,3
6.5,,0.23,5.4,,,149.0,0.9934,3.24,0.35,10.0,3
7.0,0.33,,,0.053,38.0,138.0,0.9906,,0.28,,4
,0.24,0.39,17.95,0.057,45.0,,,3.21,,,3
,0.24,0.39,17.95,0.057,45.0,,0.9999,,0.36,8.6,3
,0.23,0.39,,0.172,,158.0,,3.11,,,
,,,2.9,0.173,63.0,157.0,0.9937,3.1,,,4
,,0.26,,0.069,,160.0,0.9954,3.13,0.46,9.8,4
6.6,,,,0.057,33.0,152.0,0.9934,,,,
