acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
0.265,-0.7814,-0.0076,-0.059,,,0
0.6722,-11.233,,-0.1757,0.0208,0.1269,0
0.4399,-14.817,0.0722,,0.1063,-24.367,0
,-0.8125,0.0888,0.1199,-0.4099,-29.336,
0.4814,-0.9312,0.0359,,0.4379,24.922,0
0.4044,,-0.0956,0.6925,-0.2179,,0
0.632,,-0.2982,0.0548,-0.1896,,0
0.667,,,-0.8094,-0.7938,-14.348,
0.2704,-0.8633,,-0.4173,,-26.759,
0.469,-10.74,0.0219,0.0388,11.491,,0
0.2985,-0.7172,-0.0693,0.2326,,21.009,0
,,-0.24,0.1163,,,0
0.5683,-12.486,-0.131,-0.4556,-0.5281,-12.407,0
0.2911,-0.7748,,,-0.0148,,0
0.4477,-11.574,-0.0172,-0.1081,0.4016,0.67,
,-0.7421,,0.5714,-0.0506,,0
0.6028,-10.966,-0.3046,0.1674,-0.5065,,0
0.4852,-13.397,-0.0763,-0.8579,,-14.015,0
0.3017,-0.8366,0.0718,-0.2701,-0.4678,-27.01,0
0.4082,,-0.0375,0.0848,-0.105,0.287,0
0.372,-0.819,-0.2379,,0.1531,26.873,0
0.6363,-0.7532,,,,14.53,
,-11.893,,-0.1418,-14.683,,
0.3275,-0.7846,-0.0344,,-0.3678,-29.826,
0.2957,,-0.0462,0.1208,0.0853,-0.2949,0
,-12.653,,0.1492,0.5586,,0
0.5656,-0.8049,,0.4349,-0.0852,,0
0.7335,-13.042,-0.2887,-0.4351,,-11.675,0
0.2843,-0.9344,,-0.3433,-0.1396,-31.056,0
0.2854,-0.9109,,,0.0688,-15.5,
0.5291,,,,-0.2878,30.852,0
,-0.7638,-0.1285,0.3973,-0.0524,20.416,0
0.5509,-14.469,-0.1684,,,-0.2822,0
0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-22.833,0
0.2938,-0.9424,,,,-11.527,0
0.514,-10.203,-0.2959,0.7219,-0.1907,16.697,0
0.4652,,-0.1181,0.5532,0.4083,,0
,-12.123,-0.2765,-0.395,0.0046,0.5489,
,-11.338,,,,-16.04,0
,-0.8592,0.1061,,0.3114,-22.969,0
0.4459,,,,0.3493,,
,,-0.0852,0.5862,-0.3914,20.878,0
,-11.723,,0.0188,-0.2731,,0
0.4872,-11.931,-0.0351,-0.5722,-0.5391,-14.604,0
0.2804,-0.8719,,-0.3699,0.1381,-23.609,
,-12.032,0.0102,-0.2242,0.4722,,
0.3337,-0.6742,-0.0606,-0.6249,16.331,20.391,0
0.6582,,,,0.9292,16.138,0
,,-0.1305,0.1899,,,0
0.3547,-0.8853,-0.0107,0.3715,,-27.084,
,-0.9959,,-0.489,0.619,0.5679,0
0.3238,,-0.0594,0.3748,-0.8984,25.428,
0.662,-0.7942,-0.2785,0.2064,-0.3973,13.19,0
,-11.423,-0.1246,-0.295,-0.7894,,0
0.2491,-0.8098,-0.0453,-0.2112,-0.0623,,0
0.3197,-0.8978,0.0555,,,-0.8806,0
0.5569,,,0.3919,,,0
0.3874,,-0.1261,0.5992,,0.882,0
0.5634,-14.413,-0.2124,-0.6606,0.8258,,0
0.3344,,-0.0687,,-0.1209,-25.22,0
0.2797,-0.8473,0.0257,-0.2574,-0.2347,,0
,-0.8802,-0.2326,0.5755,0.231,28.897,0
0.5353,-0.8067,,0.1344,,20.42,0
0.594,-10.874,-0.2786,-0.1817,0.1701,,0
0.6107,-13.625,,,-0.6533,,0
,,,,,-28.416,0
0.4545,,0.0062,,0.8734,27.89,
0.2549,-0.8386,,,0.6141,17.357,0
0.6122,-0.9528,,0.1331,-0.5244,0.6437,0
0.6089,,-0.1467,-0.3103,,,0
,,0.0059,-0.1059,,-25.507,0
0.4213,-10.8,-0.006,-0.3115,0.7397,,0
0.2652,-0.7821,-0.0957,0.4252,-0.3947,22.478,0
,,-0.2986,0.368,0.268,0.6341,
,-12.154,-0.1757,-0.6,,-11.604,0
0.2887,,,-0.3777,-0.2716,-24.449,0
0.3945,-0.9849,,-0.2744,,,0
0.5972,-11.432,,,-11.092,27.531,0
0.4722,-0.772,-0.2505,0.2067,0.4913,0.7946,0
,-12.346,-0.1981,,0.1169,-0.8977,0
0.2757,-0.8391,,-0.3355,-0.3098,-26.54,0
0.3073,-0.9275,,-0.1457,0.1557,-0.7875,0
,-11.213,-0.2999,0.3816,,31.841,0
0.4005,-0.7692,-0.1453,,-0.18,10.397,0
0.5844,-14.608,-0.2223,-0.6575,0.5828,-0.4737,0
,-0.8068,-0.042,-0.7274,-0.0563,,0
0.304,-10.526,,-0.4294,0.2014,-14.583,0
0.4465,-10.84,-0.1606,0.4681,,22.522,0
0.3939,-0.6838,-0.1126,,-0.0559,14.791,0
,-11.746,,-0.1469,0.096,,
0.3388,-10.269,-0.0469,-0.6239,0.1507,,
,-0.8987,0.03,-0.139,-0.3489,-20.221,0
0.4655,-0.9433,-0.1292,0.0525,0.8692,26.627,0
,-0.6902,,,0.121,16.036,0
0.5211,-11.707,-0.2329,,0.2544,0.1954,0
0.2969,-11.104,-0.0124,-0.779,-11.317,,0
0.3363,-0.836,0.0099,,-0.3271,-28.469,0
0.3964,-0.9407,0.0009,,,,
0.2734,-0.7188,-0.0972,,0.7148,17.676,
0.6459,-10.737,,0.0272,-0.3601,,0
0.5694,-12.458,-0.1208,-0.4814,-0.8431,,0
0.3199,,0.0217,-0.1003,,-29.279,0
0.4304,-10.449,,,0.5762,13.037,
0.2451,,-0.0711,0.4032,-0.0894,23.071,
0.619,-10.499,-0.2608,0.213,,11.665,0
0.5926,-12.836,,-0.4594,,,0
0.3374,,0.022,-0.0574,,,
0.3904,-10.966,0.0865,-0.2943,10.793,11.683,0
,,,-0.1098,,16.656,0
0.546,-13.575,-0.1702,0.0282,-0.677,33.69,0
,-0.7924,-0.1582,0.5775,0.5693,15.485,0
0.618,-10.541,-0.2813,-0.3952,0.2874,,0
0.3146,-0.8448,-0.2048,-0.4367,,-30.088,0
0.2907,-0.916,0.0844,-0.195,0.0612,-12.387,
0.5521,-11.966,-0.1881,0.4755,-0.4405,,
,-0.7836,-0.0926,0.2773,0.9572,17.31,0
,-14.076,,-0.3272,,-0.3338,0
0.3771,-0.8419,-0.0954,-0.39,-0.7119,-22.131,0
,,0.0612,,,-15.815,
,,-0.209,,,19.947,0
0.3983,-0.6054,-0.1031,,,18.102,
,-11.796,,-0.2244,,0.0684,0
0.4888,-10.419,,,,,0
0.2574,,0.0614,-0.2815,-0.1088,-19.101,
0.4383,,-0.0071,,0.7006,,
0.2924,,,0.6,-0.0807,15.778,
,,-0.2558,,0.3076,10.727,
0.5259,-12.524,,-0.4858,-0.167,-18.457,0
0.3091,-0.8166,0.0283,-0.486,-0.4276,-21.202,
0.4689,,0.0249,-0.0127,0.7981,16.438,0
,,-0.0822,0.0035,16.908,13.058,0
0.688,-10.351,-0.2452,0.0222,-10.059,,
,,,,,,
,,,,,-28.684,0
,-10.722,0.0366,-0.5351,15.721,15.499,
,,0.0382,0.3371,,,0
,-10.355,-0.2353,0.1983,0.0396,,0
0.5268,,-0.114,,,-12.81,
,,0.0268,0.0822,,-23.49,0
,,0.0266,-0.4267,0.8955,10.966,0
,,0.0059,,,16.313,0
,-0.6978,-0.1337,0.2063,0.2438,10.906,0
0.5617,-13.276,-0.1674,,,,0
0.2571,-0.6437,,,0.1529,-25.594,
,,-0.0129,-0.359,0.3438,,0
,,,0.4155,,21.305,
0.4649,-0.707,,0.3172,,0.8512,0
,,-0.1017,-0.2392,,-0.8629,0
0.2995,-0.7166,0.0036,-0.1298,-10.186,,0
,-11.376,-0.042,-0.4695,0.846,,
0.3443,-0.7934,,0.5763,,20.638,
0.3963,-0.7241,,0.4406,,11.941,0
,-10.123,-0.2522,-0.3953,0.2056,-0.5066,0
0.2739,-0.7096,-0.0315,-0.4307,,,
,,0.0289,,0.3382,-0.5649,
0.4662,,-0.1686,0.2441,-0.4343,23.291,0
0.3881,-0.6858,-0.0778,,0.6793,,
,,,-0.3182,0.4662,,0
0.3262,-0.8331,-0.0828,,,,0
,-0.9102,0.0412,,-0.2908,-14.809,
0.4525,-10.737,,,0.3059,23.907,0
0.4001,-0.6247,-0.0973,0.4054,0.4231,13.103,
0.2536,-0.7218,-0.046,-0.1791,0.0691,-28.528,0
0.3171,,0.0466,,0.6863,-0.7197,
,,-0.0947,0.1954,,34.564,
0.6302,-10.027,-0.2544,0.4635,,13.424,
,,-0.1005,,-0.4082,,0
0.3078,-0.8247,,-0.419,0.6718,,
,,,0.1695,0.3035,-0.61,0
,,,0.3646,-0.8434,45.253,0
,-0.8997,-0.1299,,10.346,10.067,0
,-10.437,,-0.5561,0.3751,-10.836,0
0.2883,,-0.07,-0.5835,,-27.221,0
0.3103,,0.0918,-0.3342,0.3749,-0.9615,0
0.5737,-12.309,-0.1642,,,,0
0.3922,-0.804,-0.1033,0.4671,,14.024,
0.6183,,,,,,
,-0.7208,-0.0448,,0.0269,-28.967,0
0.3401,-0.9129,0.0609,-0.4286,0.5847,-0.8477,0
0.5484,-11.66,-0.1173,,-0.8414,32.145,0
,-0.8362,-0.2068,0.7727,0.1396,11.252,0
0.5727,-12.256,-0.2337,-0.9033,,-0.4572,0
,,-0.0727,-0.5846,,-27.332,0
0.3056,-0.8865,0.0855,-0.3585,,-13.597,0
,-13.343,-0.1837,0.1472,,35.921,0
0.4264,-0.7467,-0.1037,0.8588,,14.567,
0.6081,-14.422,-0.2209,-0.6622,0.2625,-0.3923,
,-0.8763,-0.117,,0.3963,-28.025,0
,-0.9105,0.0883,-0.2444,-0.238,-20.077,0
0.5973,,-0.2185,0.2394,0.4566,36.139,
,,,0.6984,0.2264,,0
0.5778,-12.404,-0.2415,-0.2482,,-0.0082,0
0.3584,-0.9358,-0.0663,-0.8162,0.1683,-22.499,0
0.3073,,,,-0.1397,,0
,,,0.3479,0.5021,,0
,-0.7348,-0.099,0.5608,0.2959,13.805,0
0.6972,-10.896,,,-11.547,0.518,0
0.4141,,-0.0169,-0.8328,,-22.212,0
,-0.8034,,0.063,-0.7305,,0
0.5698,-0.998,,-0.0621,0.8144,30.975,0
0.3225,-0.6746,-0.1022,0.8993,-0.3752,14.425,0
,-10.898,-0.299,-0.0136,0.1052,0.4499,
0.6016,-12.367,,,-0.2988,-17.221,0
0.3298,-0.7938,0.0464,,0.1652,,
,-11.101,0.059,-0.1059,0.585,21.587,0
0.3104,-0.7856,,,,,0
0.6541,-0.9303,-0.231,0.0879,-0.6524,0.8965,
,-12.506,-0.1003,-0.5448,,-16.335,
0.3284,-0.7616,0.0295,-0.1484,-0.3465,-26.245,0
0.4109,-0.9884,0.0728,,,,
0.3466,,0.0288,,-0.6232,18.187,0
0.6113,-0.8124,,,0.3684,10.388,0
0.5513,,-0.1753,-0.6633,-0.5685,-12.377,
0.3668,-0.7101,,-0.1469,0.2517,,0
0.4173,-10.021,0.0348,,0.3906,,
0.3314,-10.075,,0.5693,,25.327,0
0.6653,,,-0.1598,,,0
0.4899,-12.086,0.0166,,-0.6494,-17.022,0
,-0.8176,0.0746,,-0.383,-26.218,0
,-11.091,0.0271,,,23.429,0
0.3949,-0.7153,,0.5852,,23.504,0
0.6788,-11.107,,-0.1203,-0.1473,0.6485,
0.4995,-11.311,,-0.3738,-0.0901,-21.077,
0.277,-0.8528,,,,-23.144,
0.4535,,-0.037,0.1067,,,0
0.3601,-0.6574,-0.1068,0.5694,-0.0769,19.158,0
0.5497,-11.401,-0.2169,,0.0901,,0
0.5429,,-0.0033,,,-12.434,
0.3093,,,-0.2708,-0.3486,-23.478,
0.4548,-11.535,,-0.0542,0.7975,15.899,
,-0.7663,-0.0519,0.5062,-0.0695,19.724,0
0.5912,-10.083,-0.2088,0.1226,0.1496,10.044,
0.6071,-13.447,-0.0805,-0.6091,-0.618,,0
,-0.7767,0.0122,,-0.3999,-28.29,0
0.4499,-10.593,0.0144,-0.4018,0.4666,0.7395,
,,-0.0883,,,21.371,0
,-10.177,-0.3135,0.5513,,,0
0.4911,,-0.1204,-0.8533,,,0
0.308,,-0.0315,-0.1625,-0.1706,-25.231,
,-0.8246,0.0728,,0.5594,,0
,,-0.1753,0.3309,,27.291,
0.535,-0.7031,-0.1778,0.1304,0.3319,,
0.5934,,-0.1219,,0.8851,-11.157,
0.3804,-0.8353,-0.0049,0.087,-0.8111,-22.458,
0.3101,,,,-0.1267,-0.8014,0
0.5431,-12.388,-0.2278,-0.1709,,,0
,,-0.11,0.097,,11.8,
0.6526,-13.901,-0.1993,-0.3156,0.3755,,
0.3271,-0.7684,-0.0754,0.2842,-0.6777,,0
0.302,-0.8264,0.0242,,0.1495,-14.297,0
0.574,-10.933,,0.0352,-0.1197,30.666,0
0.3529,,-0.0919,0.3287,0.6674,11.381,0
0.5313,,-0.2083,-0.2812,0.0773,,0
,-0.9778,-0.0574,-0.324,,-20.694,0
,-0.7704,0.0374,,,,0
0.5594,-0.9576,-0.2063,0.0843,0.5387,,0
0.3835,,-0.1282,0.2447,0.6811,15.318,0
0.6656,,-0.2458,,-0.4168,,
,,-0.0896,-0.2602,-0.3818,-20.686,0
0.306,-0.772,0.0284,-0.0297,-0.7028,-25.507,0
,,,,0.9796,26.059,
0.3231,-0.7806,-0.1376,0.416,0.0675,17.117,0
0.638,-0.7886,-0.2275,,-0.2575,0.7814,
0.5261,-12.11,-0.0912,,-0.5205,-18.038,
0.2926,,0.0321,0.1268,-0.7239,,
0.378,-10.026,0.0157,-0.239,0.0524,,0
,-0.8118,,,-0.708,19.102,0
0.5578,-0.7604,-0.2004,0.3443,0.2052,,0
0.6333,-13.6,-0.1536,-0.4137,0.1326,-13.459,0
0.3307,,0.0035,0.1718,-0.5647,-31.815,
0.4262,-0.9238,,,0.7432,0.5612,
0.6778,-12.389,-0.1059,0.3041,-0.7998,34.31,
0.4998,-0.734,-0.0957,0.3865,,12.957,0
,-11.496,-0.2043,-0.5815,-0.1978,,0
0.3399,-0.7481,-0.0185,-0.2151,-0.4761,-30.078,0
,-0.8466,0.0322,,0.0408,-0.6074,0
,-10.793,-0.0691,0.7212,,,0
,,,0.7243,,,
0.7186,-12.654,-0.2323,,0.3123,-0.7082,
0.2688,-0.8077,-0.0604,-0.4393,-0.0961,-29.641,0
,-10.194,0.1248,-0.4085,0.7982,-11.143,0
,-10.453,,0.7304,-0.7441,27.497,0
0.5398,-0.8313,-0.2716,0.3845,,19.835,0
,-11.262,,-0.4308,,-0.9359,0
,-0.9115,-0.0219,-0.6912,0.0317,-25.845,0
0.3105,-0.9978,0.0666,-0.0944,0.1833,-16.64,0
,-10.762,-0.1831,0.3164,0.1502,,0
,,,0.3501,,18.159,0
0.6119,,,,-0.3366,-0.263,0
0.3218,-0.9857,,-0.9756,-0.3174,,0
,,,,0.5053,,
0.443,-10.223,-0.1086,,-0.034,21.731,0
,-0.6856,-0.1368,11.747,-0.8109,18.978,0
,,,-0.1246,-12.859,0.5524,0
0.285,-0.9752,-0.0248,-14.119,-0.8882,-19.32,0
0.3165,,0.1702,-11.64,,,0
0.5085,-0.8028,-0.227,11.254,,0.9413,0
0.3716,-0.7429,-0.1764,11.721,0.8563,19.53,0
0.6324,,-0.2029,,-0.737,15.198,0
,-11.66,-0.0669,-0.4915,-14.886,,0
0.3387,,,-0.6261,,-22.408,
0.4614,-11.464,-0.0183,0.2165,,0.6734,
,-0.7397,-0.0208,,-0.4419,,0
0.5931,-0.9641,-0.232,0.5439,0.5475,14.513,0
,,-0.1088,-0.4729,,-0.5724,0
0.2847,,-0.0114,-0.7653,0.8282,,0
,-10.565,0.0652,,,-0.3285,
0.4683,-11.195,-0.142,,,21.826,0
0.5855,,-0.2669,0.2423,0.6602,13.651,0
0.6072,-10.441,-0.2508,-0.2173,-0.8004,,0
,-0.7004,-0.0002,,,-27.873,
