white_piece0_strength,white_piece0_file,white_piece0_rank,black_piece0_strength,black_piece0_file,black_piece0_rank,class
,,8.0,,,8.0,w
,2.0,8.0,0.0,,8.0,
0.0,,,0.0,,,
,5.0,8.0,,,,
,6.0,,0.0,,8.0,
0.0,0.0,7.0,,0.0,,w
0.0,,,0.0,,,
0.0,,7.0,,0.0,8.0,
0.0,3.0,7.0,,0.0,8.0,
0.0,4.0,,,0.0,,
0.0,5.0,7.0,,0.0,,w
0.0,,,0.0,0.0,,
,,6.0,0.0,,,
,,6.0,0.0,,8.0,
0.0,,6.0,,0.0,,w
,3.0,,0.0,,,w
,,6.0,0.0,,8.0,
,5.0,,0.0,,,w
,6.0,6.0,,,,w
,0.0,5.0,,0.0,8.0,
,1.0,,0.0,0.0,,b
,2.0,5.0,0.0,,,
,,5.0,,0.0,8.0,w
0.0,,,,0.0,,w
,5.0,,0.0,,8.0,w
,,5.0,,0.0,,w
0.0,0.0,4.0,,0.0,8.0,b
0.0,,4.0,,0.0,8.0,
,,,0.0,0.0,,b
0.0,3.0,4.0,0.0,0.0,,w
0.0,,,,,,w
0.0,5.0,,,,,w
,6.0,,0.0,0.0,,b
,0.0,,0.0,0.0,8.0,
0.0,,3.0,,,,b
0.0,2.0,,0.0,,,
,,,0.0,,,
0.0,4.0,3.0,0.0,,,
0.0,5.0,3.0,0.0,,8.0,b
0.0,,3.0,,,,
0.0,0.0,,0.0,0.0,8.0,
0.0,,,,0.0,8.0,
0.0,2.0,2.0,,,8.0,b
0.0,3.0,,0.0,0.0,8.0,w
,,,0.0,,8.0,b
0.0,,,0.0,,,w
0.0,,,0.0,0.0,,b
0.0,,1.0,0.0,,8.0,w
,1.0,,0.0,,8.0,
0.0,,,,0.0,,w
0.0,3.0,,0.0,,8.0,
,4.0,,,,8.0,w
,5.0,,0.0,,8.0,
0.0,6.0,,0.0,,,
,0.0,0.0,0.0,0.0,8.0,
,1.0,,0.0,,,
0.0,,,0.0,,8.0,b
,4.0,,0.0,,8.0,b
0.0,,0.0,,,,
,,0.0,,,,b
0.0,0.0,8.0,0.0,,8.0,w
,2.0,,,,8.0,
,4.0,8.0,,1.0,8.0,w
,,,0.0,,,
,6.0,8.0,,1.0,,
0.0,0.0,7.0,0.0,1.0,8.0,
,1.0,,,1.0,,
,2.0,,0.0,1.0,8.0,w
,,,0.0,,,w
0.0,4.0,,,1.0,,
,,7.0,,,,
,6.0,7.0,,1.0,8.0,w
,,6.0,0.0,1.0,,w
,1.0,6.0,0.0,1.0,8.0,b
