RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
18235,53226,117890,118300,128823,126110,117906,290919,131851,1
17183,1540,117961,117981,123125,118536,118536,308574,120904,1
36724,14457,118219,118220,117884,117879,123016,19721,132000,1
79442,55662,117961,118343,119993,118321,240983,290919,118322,1
42680,5905,117929,117930,119569,119323,130464,19793,123133,1
15057,15568,117951,117952,118008,118293,118568,19721,118570,0
23884,17227,117961,118343,123476,122142,118342,118295,118982,1
19666,56254,117961,117969,118910,126820,180251,118295,126822,1
31246,25194,117890,118413,120584,121364,302830,4673,127783,1
75959,56683,118079,118080,117878,117879,304519,19721,117880,1
4675,3005,117961,118164,118481,239003,309694,290919,118676,1
15030,94005,118990,118041,125440,135809,287998,130364,119096,1
101407,46608,118315,117952,122636,120773,175234,118960,120774,1
78157,50997,91261,118026,127168,125798,168365,118205,119964,1
95836,88006,117961,118343,118514,118321,309694,290919,118322,1
19484,6657,118219,118220,118221,133718,117886,117887,126822,1
114267,23136,117961,118052,119742,118321,117906,290919,118322,1
35197,48700,117961,118446,118481,118702,118703,118704,118705,1
86316,7002,117890,117981,123125,123082,132715,290919,118279,1
27785,5636,117961,118413,122007,118321,117906,118363,118322,1
37427,50814,117961,118300,118458,153248,303717,123611,120008,1
15672,83224,117890,118300,118783,117905,240983,118363,117908,1
92885,49960,117961,118300,119181,118777,279443,308574,118779,1
1020,85475,117961,118300,120410,118321,309694,290919,118322,1
78157,15438,117961,118052,118867,118259,117906,290919,118261,1
43194,60789,118315,118463,123089,145648,128796,290919,118261,1
77385,3753,117961,118052,118341,117905,117906,290919,117908,1
20273,11506,118216,118587,118846,179731,119771,117887,117973,1
40252,46556,118090,118091,117884,118568,165015,118960,118570,1
22476,4219,117961,118300,118433,120632,128848,118424,120315,1
23921,4953,117961,117981,123901,118321,131097,118424,130858,1
34687,815,117961,118300,123719,117905,117906,290919,117908,1
43452,169112,117902,118041,128935,138137,121024,270488,118565,1
28566,4929,117961,118300,118940,118826,226343,118424,118828,1
78282,7445,117961,117981,122299,118054,121350,117887,118055,1
76431,48340,118090,119070,117945,280788,152940,292795,119082,1
80502,1912,118200,119135,118042,120097,174445,270488,120613,1
1024,55995,130570,118266,117884,118568,131246,118960,118570,1
45019,58707,117961,125018,118378,118792,120953,19793,120954,1
13878,2459,117890,118225,123173,132671,123174,118638,120814,1
80221,21603,118006,117930,126574,118568,131246,118960,209875,1
36562,49521,117890,118300,118301,119849,118260,118638,119851,0
43909,1398,117890,118300,120722,118784,130735,118363,118786,1
98044,5899,117961,118327,120318,258434,296252,118331,118779,1
1020,21127,117961,118052,119408,258434,126932,308574,118779,1
36957,3887,117961,118343,120347,120348,265969,118704,120350,1
73756,19645,117890,118413,118481,239003,240983,118363,118676,1
15702,1938,117961,118300,118066,120560,304465,121069,122954,1
113037,5396,117961,117981,119993,120773,118959,118960,118794,1
39368,17695,117890,117940,119424,117879,119877,118960,117880,1
80746,16690,117961,118446,123144,120132,311307,3130,122024,1
80263,36145,117961,118052,125884,307024,311622,118331,118525,1
73753,70062,117961,118386,118746,117905,117906,290919,117908,1
39883,7551,117961,118052,118881,117905,172635,118363,117908,1
25993,7023,117961,119762,119223,118259,118260,290919,118261,1
78106,50613,117916,118150,118810,118568,159905,19721,118570,0
33150,1915,117961,118300,119181,239003,117906,118363,118786,1
34817,122016,117961,118327,120318,118641,119684,118643,120117,1
28354,3860,117890,118446,118821,123073,117906,290919,119007,1
33642,13196,117951,117952,126785,117879,117897,19721,132000,1
26430,56310,118212,118580,117895,117896,117913,117887,126087,1
28149,50120,91261,117891,119507,118321,309694,290919,119007,1
40867,6736,117961,117969,6725,128351,311778,6725,120419,1
20293,273476,117926,118266,117920,118568,197093,19721,118570,1
15703,2163,118219,118220,120694,258434,130218,308574,118565,1
60006,16821,117961,118463,118202,118396,269406,118398,118399,1
35043,14800,117890,117962,118352,239003,309694,290919,118786,0
17308,17209,117961,118300,126137,118728,223125,118295,118730,1
15716,131280,122532,118257,118623,119065,132462,292795,118997,0
39883,96751,118555,118178,119262,126184,119727,292795,120346,1
42031,88387,118315,118463,118522,119172,156017,118467,119174,1
43737,2318,117961,118327,118933,117905,117906,290919,117908,1
35498,18454,117890,118343,119598,125171,257115,123611,125173,1
79168,58465,118602,118603,117941,133718,119621,119784,126822,1
2252,5048,117961,118164,120096,118784,240983,118363,118786,1
45652,7338,117890,118225,121639,123073,118448,290919,118322,1
23921,4145,117890,118300,120026,307024,124964,4673,118525,1
95247,50690,118269,118270,119424,118568,201292,19721,118570,1
78844,15645,117961,118052,122392,128903,160695,292795,126080,1
19481,10627,120810,118107,119565,179731,155780,117887,117973,1
20335,44022,117961,119762,122215,152308,130085,290919,127783,1
38398,58406,117916,117976,117884,133718,181575,119784,117888,1
3853,13179,117961,118446,118684,118321,117906,118363,118322,1
278393,7076,117961,118225,120323,119093,273803,119095,119096,1
33354,6454,117961,118343,118856,117905,240983,290919,117908,1
35066,5768,91261,118026,118202,123082,118260,290919,118279,1
3853,7072,117961,118300,118458,120006,310997,118424,118175,1
74383,16671,117961,118052,118706,125793,310608,118331,118525,1
79008,46224,117890,118327,118733,120952,143223,118453,120954,1
80550,45963,117961,118386,118896,122645,309858,119221,125800,1
1020,4121,117890,119762,118840,118641,306399,121069,118644,1
45603,3967,117890,118052,118706,118321,117906,290919,118322,0
78178,2612,117890,118386,118616,126110,117906,290919,117908,1
28943,7547,117961,118052,118933,118784,121659,290919,118786,1
75329,17414,118752,119070,118042,118043,151099,270488,118046,1
41569,70066,91261,118026,118202,126110,117906,290919,131851,1
4684,50806,117961,118446,119961,118259,230751,290919,118261,1
77943,4478,117961,118386,118692,118321,117906,290919,118322,1
38860,81506,117959,118574,118556,131252,127423,118478,119082,1
74142,2371,117890,117962,118501,120702,198845,118504,120704,1
