RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
39353,,,,,,117906,,,
,,117961,,123125,,,,,1
,14457,118219,,117884,117879,,,117880,1
36135,5396,,,,,,290919,,1
42680,5905,,117930,,119323,,,119325,1
45333,14561,,117952,,,118568,19721,118570,0
,17227,117961,118343,,118980,,118295,118982,1
,,,117969,,,,,,
31246,,,118413,120584,,302830,,128231,1
78766,56683,118079,118080,,,,19721,,
,3005,117961,,118481,,,,118786,
,94005,117902,118041,119238,,138522,119095,119096,1
79954,,118315,118463,,120773,123148,,,1
,50997,91261,,,,168365,118205,119964,
,,,,118514,118321,117906,290919,118322,1
,,,118220,118221,117885,,117887,,
114267,23136,,118052,119742,118321,,,118322,1
,57715,117961,,,118702,118703,118704,118705,
86316,,,118343,,118278,,290919,118279,
27785,5636,117961,,122007,118321,117906,,118322,1
37427,,117961,118300,118458,,303717,,,
,,117961,118300,118783,,240983,,117908,1
92885,,,118300,119181,118777,279443,,,
1020,,,118300,,,,,118322,
4675,7551,117961,,118867,,117906,290919,,1
41334,28253,118315,118463,,118259,,290919,118261,
,14829,,,,,117906,290919,,1
20273,11506,,118587,118846,179731,,117887,,1
78098,,118090,118091,117884,,165015,19721,118570,
,4219,,,,,144958,118424,,
23921,,117961,,119598,120344,310997,,120346,1
,815,117961,118300,123719,,117906,,,
,,117902,,119781,118563,,,,1
,,,,118825,118826,226343,,,
,7445,,,,118054,,,,1
17183,794,,119070,,280788,,,,1
38658,,,119135,118042,120097,,,120099,1
,50368,117926,118266,117884,118568,281735,19721,118570,1
45019,,117961,118327,,,120953,118453,120954,
,1541,,118225,,120812,123174,118638,,
14570,46805,,117930,,118568,,19721,118570,1
74310,49521,,,,119849,,,119851,0
6977,1398,,118300,,,,290919,118786,
31613,,117961,,120318,,296252,308574,118779,1
,,117961,,119408,,,308574,118779,1
,3887,117961,,,,,118295,,
19629,19645,,,,,240983,,,1
15702,,,,118066,,304465,118643,,
113037,,117961,118343,119993,,118959,,120774,
,,,117891,117878,,,,,1
,16690,,118446,119064,,,119221,122024,
,,117961,,120304,,,118331,,
,70062,117961,118386,,,,290919,,1
,7551,117961,118052,,117905,172635,,117908,1
25993,7023,117961,,,118259,,290919,118261,1
78106,,117916,,,118568,159905,,118570,0
,1915,117961,118300,119181,118784,,,118786,
,5899,117961,118327,,118641,240982,118643,,1
28354,3860,117961,,,118321,,290919,,
,,117951,,117941,117879,,19721,,1
,,118212,118580,117895,117896,117913,117887,117898,
28149,,,,119507,118321,117906,,,1
40867,6736,117961,,,122290,268766,6725,122292,1
20293,273476,,118266,117920,,,,,1
,,,118220,,118777,130218,308574,118779,
,16821,,118225,120535,,269406,118398,,
35043,14800,,117962,118352,118784,117906,,118786,
,4088,,,,118728,,,,1
,18073,,118257,,,,292795,118997,
39883,55956,118555,118178,,117946,119727,,,1
42031,88387,,,118522,119172,121927,,,1
,2318,117961,,118933,117905,,290919,,1
35498,18454,,,119598,125171,,118424,125173,
