Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,4492,GJT,SLC,6,785.0,56.0,0
EV,5364,MGM,MEM,6,375.0,76.0,0
FL,1016,BOS,MCO,7,703.0,205.0,0
F9,231,BNA,MCI,5,880.0,173.0,0
AS,662,SEA,DFW,5,730.0,230.0,0
WN,3138,SAN,SAT,7,900.0,155.0,1
WN,793,JAN,HOU,3,810.0,80.0,1
WN,3237,PHL,MDW,5,1035.0,145.0,0
WN,359,LAS,MCO,3,1055.0,65.0,1
F9,843,MDW,DEN,3,940.0,157.0,0
WN,973,DEN,BWI,4,710.0,200.0,1
XE,1119,GCC,DEN,4,1155.0,100.0,1
WN,537,ONT,SMF,2,1145.0,80.0,1
UA,418,SAN,DEN,2,492.0,148.0,1
AA,1845,MIA,SJU,3,720.0,145.0,1
OO,6407,TUL,LAX,4,445.0,204.0,0
OO,6893,SFO,PSP,4,559.0,83.0,0
XE,193,TWF,PHX,5,925.0,185.0,0
9E,4337,ATL,SGF,1,1170.0,116.0,0
UA,467,DEN,SJC,1,1292.0,164.0,0
US,1972,CLT,EWR,1,914.0,107.0,1
EV,5237,BOS,GUM,3,875.0,109.0,0
EV,5572,CHS,ATL,6,1085.0,84.0,1
OO,6247,FAT,LAX,7,721.0,75.0,1
WN,380,MDW,BHM,2,950.0,125.0,1
MQ,195,ORD,BWI,5,845.0,115.0,1
CO,214,DFW,IAH,3,340.0,59.0,1
YV,2833,TUS,PHX,1,405.0,47.0,0
XE,1675,SLC,PDX,7,1115.0,125.0,1
AA,1267,MIA,SJU,7,1000.0,150.0,1
DL,1040,COS,MFE,4,400.0,170.0,1
DL,1531,DCA,MEM,6,370.0,149.0,1
MQ,3905,DAY,ORD,3,475.0,80.0,0
XE,313,BWI,CLE,7,990.0,75.0,0
OO,6761,IAD,MSY,4,737.0,170.0,0
WN,1112,SEA,SLC,7,1095.0,110.0,1
OH,6643,BOS,GUM,4,395.0,114.0,1
US,1014,FLL,CLT,1,785.0,118.0,1
XE,4502,BHM,IAH,3,900.0,112.0,0
UA,672,ORD,LGA,2,480.0,132.0,0
FL,6722,FLL,BWI,7,631.0,145.0,0
DL,7116,OMA,MSP,5,436.0,74.0,0
YV,2538,JAX,YAK,5,888.0,107.0,0
EV,5185,SAV,ATL,6,692.0,73.0,1
OO,6297,BIL,DEN,1,1167.0,92.0,0
OO,6239,BHM,DEN,7,450.0,190.0,1
WN,5015,AUS,HOU,3,610.0,50.0,0
WN,3920,OKC,DEN,4,755.0,100.0,1
OO,6480,YUM,MIA,5,457.0,80.0,0
AS,6820,RDD,SFO,5,360.0,78.0,0
XE,1120,TUS,LAX,1,880.0,90.0,0
EV,5177,ATL,CHA,3,810.0,48.0,0
AA,1921,EWR,MIA,4,360.0,185.0,0
XE,3012,IAH,YAK,1,1150.0,166.0,1
UA,354,SAN,DEN,2,908.0,144.0,0
UA,604,ORD,PVD,7,1260.0,167.0,0
AA,456,DFW,TPA,7,1015.0,135.0,0
CO,1155,PBI,EWR,3,747.0,173.0,0
DL,3652,SDF,MIA,2,890.0,155.0,0
YV,3986,ATL,PIT,3,615.0,89.0,1
DL,2005,CVG,VLD,7,1140.0,237.0,0
DL,2184,SLC,CVG,2,600.0,203.0,0
UA,199,MCO,ORD,7,857.0,177.0,0
9E,3981,MSP,DSM,3,935.0,72.0,0
XE,2467,GPT,IAH,7,1090.0,84.0,0
WN,1174,BWI,CLE,3,1195.0,75.0,1
WN,1259,BNA,SAT,4,515.0,155.0,0
XE,324,GEG,DEN,5,390.0,135.0,0
DL,1435,ORF,ATL,2,583.0,115.0,0
AA,689,ORF,DFW,1,380.0,220.0,0
AA,1119,DCA,MIA,6,800.0,160.0,1
XE,2207,ICT,IAH,3,990.0,106.0,1
9E,655,SYR,ATL,3,763.0,154.0,1
DL,2760,MIA,ATL,6,820.0,120.0,1
MQ,2872,DFW,CEC,7,705.0,70.0,0
MQ,3956,CID,ORD,2,515.0,65.0,1
OO,6976,ORD,CLE,7,480.0,71.0,0
OO,7776,SLC,BGR,3,820.0,59.0,0
AA,1380,DFW,IND,1,950.0,120.0,0
DL,1026,DTW,ATL,1,716.0,130.0,1
EV,5244,MOB,ATL,5,460.0,83.0,0
XE,3099,IAH,RDU,6,625.0,144.0,0
WN,6435,OAK,SNA,5,885.0,80.0,1
