Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
,,GJT,SLC,,785.0,,0
,5364,,MEM,6,375.0,76.0,0
FL,1016,BOS,,,703.0,,0
,231,BNA,DEN,5,880.0,,0
AS,662,SEA,DFW,5,,,0
,,SAN,SAT,7,900.0,,1
WN,793,JAN,HOU,3,,,1
WN,3237,PHL,MDW,,1035.0,145.0,0
,359,LAS,SNA,,1055.0,,1
,843,,DEN,,940.0,157.0,
WN,,,BWI,,710.0,200.0,1
WN,1119,OMA,DEN,4,1155.0,100.0,
WN,537,ONT,SMF,2,1145.0,80.0,1
,,SAN,DEN,2,492.0,148.0,1
,1845,,SJU,3,,145.0,
,6407,TUL,LAX,4,,204.0,0
OO,6893,SFO,PSP,4,,83.0,0
,,,PHX,,925.0,,0
9E,,ATL,,,1170.0,116.0,0
UA,467,,,1,1292.0,164.0,0
,,CLT,EWR,1,,107.0,1
EV,,,,3,875.0,,
EV,,,ATL,1,,,
OO,,FAT,LAX,7,721.0,,
WN,,MDW,JAN,2,950.0,,1
MQ,,ORD,,5,,115.0,1
CO,214,DFW,,3,340.0,59.0,1
YV,2833,TUS,PHX,1,,47.0,
WN,1675,SLC,PDX,7,,125.0,
AA,1267,MIA,,7,,150.0,1
DL,1040,,ATL,4,,170.0,
,1531,DCA,MEM,6,370.0,149.0,1
MQ,,DAY,,3,,80.0,
,,BWI,,7,990.0,,0
OO,,,MSY,4,737.0,,
,1112,SEA,,7,1095.0,110.0,1
OH,6643,,DCA,,395.0,114.0,1
US,1014,,,1,,118.0,0
XE,2356,BHM,IAH,,900.0,112.0,
UA,672,ORD,,2,480.0,,0
FL,953,,BWI,7,,145.0,0
DL,2003,,,,436.0,74.0,
YV,7304,,IAD,,888.0,,0
EV,5185,SAV,,6,,73.0,
,6297,BIL,DEN,,1167.0,92.0,0
OO,6239,BHM,,7,,,1
,1162,AUS,,3,610.0,,0
,3920,,,4,755.0,100.0,1
OO,6480,,LAX,5,,80.0,0
OO,6820,RDD,SFO,5,,78.0,0
,1120,TUS,LAX,1,880.0,90.0,0
EV,,,CHA,3,,,
AA,1921,EWR,MIA,4,360.0,185.0,0
,3012,,IAD,1,,,
,354,SAN,DEN,3,908.0,144.0,0
UA,604,ORD,,7,1260.0,167.0,
,,,TPA,7,,135.0,0
,,PBI,EWR,5,,173.0,
MQ,,SDF,,2,890.0,,0
FL,984,ATL,PIT,3,615.0,89.0,0
DL,2005,,SLC,7,1140.0,,0
,,,CVG,2,600.0,203.0,0
,,MCO,ORD,,857.0,,0
9E,3981,,DSM,3,935.0,72.0,0
XE,,GPT,,7,,84.0,0
WN,1174,,CLE,,1195.0,75.0,1
WN,1259,BNA,SAT,4,515.0,155.0,0
WN,324,,DEN,5,,135.0,0
DL,,ORF,,2,583.0,115.0,
AA,689,ORF,,,380.0,220.0,0
AA,1119,DCA,,6,800.0,,1
,2207,ICT,IAH,,990.0,106.0,1
,3657,SYR,ATL,3,,,
,2760,MIA,ATL,,820.0,120.0,1
,2872,DFW,,7,705.0,70.0,1
MQ,3956,CID,ORD,,515.0,65.0,1
OO,6976,ORD,CLE,7,,71.0,
OO,7776,SLC,,5,820.0,,
AA,,DFW,IND,1,,120.0,0
DL,1026,DTW,ATL,,716.0,,1
,,MOB,,5,460.0,83.0,
XE,,IAH,RDU,6,625.0,144.0,0
,1015,OAK,SAN,5,885.0,80.0,0
WN,1886,BDL,MDW,5,470.0,,1
WN,1577,HOU,PHX,2,435.0,,0
,433,MKE,ATL,6,756.0,,1
AA,902,,DFW,1,810.0,195.0,0
WN,,DEN,PHX,,585.0,120.0,1
DL,,FLL,LGA,,540.0,170.0,0
EV,5182,ATL,CAE,5,,,
UA,602,ORD,DCA,6,422.0,111.0,
OH,,,RIC,1,,,0
MQ,3701,DCA,ORD,,945.0,,1
MQ,3232,DFW,SGF,1,860.0,,
WN,1013,PHX,AUS,4,640.0,125.0,0
