Rank,Title,Genre,Description,Director,Actors,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore
-9999999,Guardians of the Galaxy,,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,James Gunn,,-9999999,121,8.1,-9999999,333.13,76.0
-9999999,,"Adventure,Mystery,Sci-Fi",,,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",-9999999,-9999999,7.0,-9999999,126.46,65.0
3,Split,"Horror,Thriller",,,,-9999999,-9999999,7.3,157606,138.12,62.0
-9999999,,"Animation,Comedy,Family","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",-9999999,108,7.2,60545,270.32,59.0
-9999999,,"Action,Adventure,Fantasy",,,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",-9999999,-9999999,6.2,393727,325.02,40.0
-9999999,,,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,,,-9999999,103,6.1,-9999999,45.13,42.0
-9999999,La La Land,,,Damien Chazelle,,2016,128,8.3,258682,151.06,93.0
8,,,,,,2016,-9999999,6.4,2490,,71.0
9,The Lost City of Z,"Action,Adventure,Biography",,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",2016,141,7.1,7188,8.01,78.0
10,Passengers,"Adventure,Drama,Romance","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",,,-9999999,-9999999,7.0,-9999999,100.01,41.0
11,Fantastic Beasts and Where to Find Them,,,,,2016,-9999999,7.5,232072,234.02,66.0
12,,,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,,-9999999,-9999999,7.8,-9999999,169.27,74.0
13,,,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",-9999999,-9999999,7.9,323118,532.17,65.0
