a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql,binaryClass
-0.102111,,,0.257042,7.188886,,,,
0.373578,,0.2895,0.234217,,2.85618,0.569577,,
,,,,,3.616225,,,
0.316211,,,0.036333,0.360257,1.069743,0.807717,,
0.007116,,,-0.456627,0.07203,,0.188453,,P
,0.363605,-0.200576,0.176573,,1.860283,,,
-0.093119,,0.046167,,,,,6.0,
0.339518,0.48181,,,1.480749,5.089209,,,
,-0.045147,,0.264757,4.420638,,,,P
,,0.149193,,,,0.711124,,P
,0.449999,,0.205283,9.341137,0.670166,,5.0,N
-0.185726,,0.219358,,7.003263,,0.776597,8.0,
,,,0.495341,,3.216722,0.406159,8.0,N
,,,-0.131272,4.247333,,0.636844,,N
,,0.484202,-0.168472,,,0.391175,,P
-0.047994,,,-0.389985,0.36291,0.163468,0.623968,6.0,
,,,-0.260208,2.496633,2.158898,0.668119,6.0,
,,0.13691,,,,,,
,-0.341985,,-0.259174,9.167674,,0.247677,7.0,
0.334049,-0.472449,-0.129682,,,8.313493,,8.0,
,-0.060979,-0.477323,,9.257957,14.805977,0.715781,,
0.10495,,0.096682,,0.250424,3.166411,,7.0,
-0.147034,-0.307275,0.480487,,3.986536,2.995441,,,
,,,,,,,7.0,N
,0.448241,,,,6.202247,,7.0,P
-0.158242,,,-0.457704,3.593601,,0.39407,7.0,
,0.414583,0.468224,,1.291934,,,,
-0.354853,,,,,,,6.0,
-0.103837,,-0.028464,,,,0.414221,5.0,
0.428268,0.247435,,,0.541538,,0.671251,,
-0.155287,0.126401,0.397628,-0.088331,,10.12245,0.37025,,
,-0.476812,,0.329986,0.332996,,0.780092,8.0,
,,,,1.300682,0.293228,0.516916,7.0,
0.042743,,,0.330779,0.46069,0.813368,0.856525,,
-0.25489,0.377032,0.452278,,4.970861,,,5.0,
0.398361,-0.309463,,0.198052,2.820201,3.950382,0.486077,,N
0.121941,,,,2.284648,,0.207884,,P
0.376486,,0.309315,,,6.112664,0.894345,,N
