median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
,8.3252,41.0,880.0,129.0,322.0,126.0,37.88,P
358500.0,8.3014,21.0,7099.0,1106.0,,1138.0,,
,7.2574,,,190.0,,,37.85,P
341300.0,5.6431,,,,,,,P
,,,1627.0,,565.0,,,
,,52.0,,213.0,413.0,,37.85,P
299200.0,3.6591,,,489.0,1094.0,514.0,37.84,
,,,,,,,37.84,P
,,42.0,,,1206.0,595.0,,
,,52.0,3549.0,,1551.0,,37.84,P
281500.0,,,,,,402.0,,P
241800.0,,,,,1504.0,,37.85,P
,,,2491.0,474.0,,468.0,,P
191300.0,,,,,345.0,174.0,,
,,52.0,2643.0,626.0,1212.0,,37.85,
,2.125,,,,,,,P
152500.0,,52.0,,347.0,,,,
155500.0,,,1228.0,,648.0,303.0,37.85,P
,,,,,,419.0,37.84,P
,,52.0,,,690.0,,,P
,,,,,,166.0,,P
,,,1639.0,,,366.0,37.85,P
113900.0,,,2436.0,541.0,,478.0,,
99700.0,,,1688.0,337.0,853.0,325.0,37.84,P
,,,2224.0,,1006.0,,,P
,,41.0,535.0,,317.0,,37.85,P
93800.0,2.4597,,1130.0,244.0,,,,P
105500.0,,52.0,1898.0,421.0,1102.0,397.0,,P
108900.0,1.6424,,2082.0,,1131.0,,37.84,
,1.6875,,729.0,160.0,395.0,,37.84,P
122300.0,1.9274,49.0,,,,378.0,,
115200.0,1.9615,,,481.0,1168.0,441.0,,P
110400.0,,48.0,1922.0,409.0,1026.0,,37.84,P
104900.0,1.375,,1655.0,,,329.0,37.83,
109700.0,,,,,,,37.83,P
97200.0,1.4861,,,282.0,,,,P
104500.0,,,1798.0,,,374.0,,P
,,,1511.0,,,,,P
191400.0,,52.0,1470.0,,689.0,309.0,37.83,P
176000.0,2.5898,,2432.0,,,,37.83,
,2.0978,,,,946.0,,,P
150000.0,,,,,517.0,,37.83,P
,,,713.0,,,189.0,37.84,P
188800.0,,,950.0,,467.0,,37.84,P
184400.0,3.0125,,1443.0,,660.0,292.0,37.83,P
,,,,420.0,,,,P
142500.0,,50.0,1125.0,322.0,,304.0,37.83,P
,,43.0,1007.0,,,253.0,37.82,P
,,40.0,624.0,195.0,423.0,,,
112500.0,1.775,40.0,946.0,,,352.0,37.82,
,0.9218,,,453.0,735.0,438.0,37.82,P
93800.0,,43.0,1868.0,456.0,1061.0,,37.82,
,,,3221.0,853.0,1959.0,720.0,37.82,
,1.2475,,,456.0,1162.0,400.0,37.82,
87500.0,,52.0,,235.0,,,37.82,P
,,52.0,,243.0,576.0,220.0,37.82,
,1.5057,,,,622.0,259.0,,P
,0.8172,52.0,1489.0,335.0,728.0,244.0,,
,,,,341.0,1074.0,304.0,37.82,P
60000.0,2.5625,2.0,158.0,,,57.0,37.82,
,3.3929,52.0,1121.0,211.0,,,37.83,
,6.1183,,135.0,,86.0,23.0,,P
,,,760.0,,,,37.81,
,,52.0,,237.0,,,37.81,P
73500.0,2.5938,48.0,,182.0,392.0,,,
,1.1667,52.0,1010.0,,604.0,187.0,,P
84400.0,,48.0,,,788.0,,37.81,P
,,,1027.0,,,147.0,,
85000.0,,,,109.0,274.0,,,P
129200.0,,,,,1823.0,611.0,37.81,P
,1.7719,26.0,,152.0,,127.0,37.81,
,,,935.0,,582.0,277.0,,
,1.75,,,204.0,560.0,,,
67500.0,0.4999,,12.0,,,,37.81,
137500.0,,20.0,,,290.0,,,
177500.0,,,,462.0,762.0,,,P
102100.0,,,,,,,,P
108300.0,1.1111,,,,721.0,,,
,0.8026,23.0,,374.0,,,,P
131300.0,,38.0,684.0,176.0,344.0,,37.8,
,,,,,,,,P
,1.1667,52.0,,,,,37.81,P
,,,,,200.0,87.0,,
137500.0,0.8075,,386.0,,,,,
118800.0,,,,,,169.0,37.81,
,,,773.0,143.0,377.0,115.0,37.81,
118800.0,,40.0,,451.0,,380.0,,
,,10.0,875.0,348.0,546.0,,37.81,
137500.0,,,,,125.0,39.0,,
500001.0,1.2434,52.0,,78.0,396.0,,37.8,P
,2.0938,,994.0,392.0,800.0,,,P
,0.8668,,,87.0,,,,
162500.0,,52.0,96.0,31.0,191.0,34.0,,
187500.0,2.6354,27.0,,,718.0,302.0,37.79,
,1.8477,,1715.0,623.0,,,,P
,2.0096,,,,3469.0,2323.0,,P
183800.0,,31.0,,1331.0,2048.0,1180.0,37.82,P
125000.0,,,335.0,107.0,,,,
,,,,1270.0,2024.0,,,P
193100.0,,37.0,3633.0,,1838.0,980.0,37.82,
,,29.0,,,2304.0,1250.0,37.81,P
,,28.0,5806.0,1603.0,2563.0,1497.0,,P
,,39.0,,,389.0,228.0,37.81,P
350000.0,,52.0,2155.0,701.0,,613.0,37.81,P
,2.8406,,,1914.0,2689.0,,37.81,P
,,52.0,1509.0,,,,37.82,P
268500.0,3.2727,,,482.0,,456.0,,P
259400.0,3.1691,,,460.0,,,,
,,,,751.0,1444.0,,,P
,3.9063,28.0,,855.0,1520.0,802.0,37.82,P
262500.0,,52.0,1424.0,,,,37.82,
,,32.0,3809.0,1098.0,1806.0,,37.82,P
255000.0,3.0233,,3959.0,,,1217.0,,
224100.0,3.1484,,,,,519.0,,P
243100.0,3.4722,35.0,,,675.0,,37.83,P
,,,1279.0,,534.0,291.0,37.83,P
218500.0,2.4234,28.0,,,2558.0,1661.0,,P
234100.0,,,,1105.0,,1037.0,37.83,
,5.8596,,,,,,,P
,5.2868,,,454.0,,485.0,37.84,
366100.0,,41.0,2576.0,406.0,794.0,,,P
,4.9643,37.0,,,98.0,47.0,37.85,P
373600.0,6.3434,,,411.0,1061.0,403.0,37.85,
,5.1773,52.0,,,1177.0,555.0,,
,7.2354,,2612.0,365.0,901.0,367.0,37.85,
337300.0,,28.0,,1048.0,,956.0,37.85,P
,7.5,,2935.0,473.0,1031.0,,37.84,
,,44.0,,597.0,,597.0,,P
411500.0,7.5544,,4991.0,,1616.0,,,P
311500.0,,,2211.0,,,,,P
325900.0,,34.0,3038.0,490.0,1140.0,496.0,37.84,P
392600.0,,,,210.0,533.0,,37.84,
,7.4882,,2865.0,,,443.0,,P
333300.0,,34.0,,,,,37.83,P
,8.2049,28.0,1326.0,,463.0,190.0,,
,8.401,,,,542.0,211.0,,
368900.0,6.8538,,1791.0,271.0,,,37.83,
,,,1835.0,264.0,,,37.82,
,,37.0,,,,,,
362800.0,,,3770.0,534.0,1265.0,500.0,,P
483300.0,,,,38.0,126.0,52.0,37.81,
,7.0549,,2375.0,,,,,P
,,45.0,2964.0,,1067.0,426.0,,
,2.8929,,2833.0,,,,,P
,3.0812,38.0,,,,,37.8,
,,52.0,,,510.0,224.0,,
,,,1971.0,335.0,,308.0,37.81,P
,3.2632,,,,,,,
199600.0,,,,464.0,,,37.8,P
239800.0,,,,,,515.0,37.8,
270100.0,4.072,,,,,340.0,,
302100.0,,,,536.0,1034.0,521.0,37.81,P
269500.0,,,2033.0,486.0,,459.0,,
314700.0,4.7708,52.0,,,,213.0,,
390100.0,,52.0,2927.0,402.0,,380.0,37.81,
,,52.0,,,,,37.81,
,6.8591,52.0,,,,,,P
287300.0,6.0302,52.0,,,634.0,256.0,,P
,7.508,,,365.0,878.0,352.0,37.81,P
243800.0,2.7477,,,,918.0,483.0,,P
211500.0,2.1944,52.0,888.0,,360.0,175.0,,P
,,52.0,2087.0,,,,37.8,P
269900.0,3.675,,2513.0,502.0,,518.0,,
,,,3232.0,835.0,,747.0,37.81,
,2.9345,42.0,,1065.0,1715.0,,37.8,P
250000.0,,43.0,2364.0,792.0,1359.0,,,
,,41.0,1471.0,,,413.0,,P
193800.0,,,2468.0,,,,,P
,2.3173,,1632.0,,1171.0,,,
97500.0,1.7772,,,526.0,,460.0,37.79,P
,,50.0,,,742.0,196.0,37.79,P
,,52.0,,391.0,1086.0,363.0,,P
116700.0,,,1678.0,606.0,1645.0,,37.8,P
151800.0,1.6504,,2344.0,647.0,,,37.8,
,2.2697,52.0,,228.0,,228.0,37.8,P
,2.1563,,,373.0,1118.0,347.0,,P
,2.1348,,1586.0,398.0,,,37.8,
182700.0,,,,588.0,,,37.8,P
,,52.0,1192.0,289.0,772.0,257.0,,P
122800.0,,52.0,,,,401.0,37.8,
169300.0,,,2838.0,749.0,,,37.8,
126600.0,,,,,488.0,186.0,37.8,P
127900.0,,51.0,1590.0,414.0,,,37.8,P
123500.0,,50.0,,480.0,1149.0,,,P
,2.3929,,,,844.0,,,
112800.0,,,,1344.0,,1231.0,,
107900.0,2.9357,,,,1659.0,,,P
137500.0,,30.0,999.0,264.0,1011.0,263.0,37.79,P
105500.0,,,,,1464.0,,,
,2.125,47.0,1372.0,395.0,,303.0,,
,,,674.0,180.0,647.0,,,
112200.0,,,1626.0,376.0,,357.0,,P
75000.0,2.1,,175.0,43.0,228.0,55.0,,P
112500.0,1.6,,461.0,,,,,
,,52.0,902.0,237.0,846.0,,37.79,P
,,20.0,,,1659.0,,37.8,
,,,391.0,,,,37.77,P
,2.59,52.0,,,,259.0,37.77,P
,2.57,52.0,,206.0,,,,P
,,,,,415.0,126.0,,P
,,,,215.0,,,,
128800.0,1.4886,50.0,1920.0,530.0,,,,P
112500.0,,43.0,1420.0,472.0,,,,
,,52.0,,,,255.0,37.78,
,,,2340.0,825.0,,,37.78,
,2.0375,48.0,,,1481.0,343.0,37.79,P
106300.0,2.293,,1175.0,,,219.0,,
,,,2343.0,,,523.0,,
,,,,,,140.0,37.79,P
,1.3281,40.0,930.0,,564.0,,37.79,
,3.5156,,,314.0,,,37.79,
,,52.0,3424.0,,2273.0,,,
125000.0,,52.0,762.0,190.0,600.0,195.0,,
,2.6042,,2366.0,575.0,1647.0,,,P
,2.5,,,450.0,1201.0,,,
141700.0,2.7969,38.0,,,2167.0,659.0,,
150000.0,2.8321,29.0,,,,340.0,37.79,
138800.0,,47.0,1543.0,307.0,,292.0,,
139200.0,2.8365,34.0,2364.0,,,,,P
,2.875,35.0,,,1143.0,386.0,,
,3.0682,,,,1109.0,464.0,,
151000.0,,39.0,,,1221.0,446.0,,P
273000.0,4.9559,,3045.0,,1115.0,,,
217100.0,4.7721,52.0,,,,,37.8,
,3.4861,,,,1883.0,706.0,,
239600.0,,41.0,2070.0,354.0,804.0,,37.8,P
229700.0,4.0977,48.0,1321.0,,,,,P
,4.744,,1694.0,259.0,610.0,238.0,37.8,
246900.0,,,1938.0,341.0,,,,P
,,50.0,968.0,,462.0,,37.79,
169600.0,,40.0,,256.0,,,,
,,46.0,2041.0,,,,37.8,P
,,,,,,277.0,,
231800.0,4.6563,,,451.0,1106.0,454.0,,
,,28.0,,761.0,,669.0,37.79,
,,35.0,1802.0,459.0,1009.0,,,
,2.6667,49.0,882.0,,,,37.79,P
,2.619,,,452.0,,491.0,,P
139400.0,,45.0,2115.0,,,,37.79,
115400.0,2.7788,,,528.0,,480.0,37.79,
,2.7352,,,508.0,,,37.78,P
137000.0,1.8472,52.0,,300.0,1065.0,,,
142600.0,,52.0,1056.0,224.0,,245.0,,
137500.0,3.0536,,898.0,,,245.0,,
,2.3906,,2968.0,710.0,,,37.78,P
126800.0,1.7188,43.0,1702.0,,,407.0,,
,,,881.0,248.0,753.0,241.0,37.78,
114800.0,2.8015,40.0,,,547.0,135.0,,
102300.0,1.7276,50.0,,,1807.0,440.0,,
,,44.0,,514.0,1700.0,,,P
119100.0,,,1637.0,,1543.0,393.0,37.78,P
80600.0,,52.0,1420.0,,1085.0,300.0,,P
,4.0904,52.0,,,,137.0,37.77,
88800.0,2.6765,,,153.0,,,,
,2.4338,,,498.0,1621.0,,,
,,46.0,,,1183.0,,,P
100000.0,2.2604,,1017.0,328.0,836.0,,,
,1.8039,,932.0,254.0,,263.0,,
94800.0,2.2562,39.0,,597.0,,,37.77,
102000.0,2.0562,,1547.0,,1024.0,,,
158400.0,3.5398,,,,,,37.78,P
,,,1752.0,399.0,1071.0,376.0,37.78,P
129100.0,2.5401,50.0,1867.0,403.0,1128.0,,,
121400.0,,43.0,2430.0,,,484.0,,
102800.0,,,,,1240.0,393.0,37.78,
,,52.0,,,,168.0,,
,,52.0,2170.0,428.0,1086.0,,37.77,
151200.0,3.5114,,2329.0,445.0,1144.0,417.0,37.77,
,4.3125,,,,,375.0,,P
,,52.0,,397.0,984.0,369.0,,P
,3.875,33.0,142.0,31.0,575.0,47.0,37.78,
174200.0,,,,,496.0,209.0,37.78,P
,3.7262,,1070.0,,555.0,,37.78,P
163500.0,,,1766.0,,,327.0,,P
,5.2578,39.0,,,,,,
,7.0875,41.0,1411.0,,,,,P
208100.0,,46.0,2109.0,387.0,,,37.79,
198100.0,2.9514,,1229.0,243.0,582.0,256.0,,
172800.0,,,954.0,217.0,,201.0,,
336700.0,,37.0,1643.0,,620.0,,,P
,6.2838,,,195.0,,195.0,37.8,
285800.0,,,2317.0,,,328.0,37.8,P
,7.0712,24.0,,,,,,
,5.9849,22.0,,,,1967.0,37.79,P
