,name,addr,city,phone,type,class
0,arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,0
1,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,?,?
2,art's delicatessen,12224 ventura blvd.,?,818/762-1221,?,1
3,art's deli,12224 ventura blvd.,?,818-762-1221,?,?
4,hotel bel-air,701 stone canyon rd.,?,?,californian,2
5,bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,?
6,cafe bizou,14016 ventura blvd.,?,?,french,?
7,cafe bizou,14016 ventura blvd.,sherman oaks,?,?,3
8,campanile,624 s. la brea ave.,?,213/938-1447,?,?
9,campanile,624 s. la brea ave.,?,?,californian,?
10,chinois on main,2709 main st.,?,?,french,?
11,chinois on main,2709 main st.,santa monica,310-392-9025,?,?
12,citrus,6703 melrose ave.,los angeles,213/857-0034,californian,6
13,citrus,6703 melrose ave.,los angeles,?,californian,6
14,fenix,8358 sunset blvd. west,?,213/848-6677,american,7
15,fenix at the argyle,8358 sunset blvd.,?,?,french (new),?
16,granita,23725 w. malibu rd.,?,?,?,?
17,granita,23725 w. malibu rd.,malibu,310-456-0488,californian,?
18,grill on the alley,9560 dayton way,?,310/276-0615,?,?
19,grill  the,9560 dayton way,?,?,american (traditional),9
20,restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
21,katsu,1972 hillhurst ave.,?,?,?,?
22,l'orangerie,903 n. la cienega blvd.,?,?,french,11
23,l'orangerie,903 n. la cienega blvd.,?,310-652-9770,french (classic),11
24,le chardonnay,8284 melrose ave.,?,?,french,?
25,le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,12
26,locanda veneta,3rd st.,?,?,italian,?
27,locanda veneta,8638 w. third st.,?,?,?,13
28,matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,?,14
29,matsuhisa,129 n. la cienega blvd.,?,?,seafood,14
30,the palm,9001 santa monica blvd.,?,310/550-8811,american,15
31,palm  the (los angeles),9001 santa monica blvd.,?,?,?,15
32,patina,5955 melrose ave.,los angeles,?,?,16
33,patina,5955 melrose ave.,los angeles,213-467-1108,?,?
34,philippe's the original,1001 n. alameda st.,?,?,?,17
35,philippe the original,1001 n. alameda st.,chinatown,?,cafeterias,?
36,pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,?,?
37,pinot bistro,12969 ventura blvd.,studio city,818-990-0500,?,18
38,rex il ristorante,617 s. olive st.,?,?,italian,19
39,rex il ristorante,617 s. olive st.,los angeles,213-627-2300,?,?
40,spago,1114 horn ave.,los angeles,?,?,?
41,spago (los angeles),8795 sunset blvd.,?,?,?,20
42,valentino,3115 pico blvd.,?,?,?,?
43,valentino,3115 pico blvd.,?,?,?,21
44,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,?,?,?
45,yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,?
46,21 club,21 w. 52nd st.,?,212/582-7200,?,?
47,21 club,21 w. 52nd st.,?,?,?,23
48,aquavit,13 w. 54th st.,?,212/307-7311,?,?
49,aquavit,13 w. 54th st.,new york city,212-307-7311,?,?
50,aureole,34 e. 61st st.,?,212/ 319-1660,?,?
51,aureole,34 e. 61st st.,?,212-319-1660,american (new),?
52,cafe lalo,201 w. 83rd st.,?,?,coffee bar,26
53,cafe lalo,201 w. 83rd st.,new york city,?,?,?
54,cafe des artistes,1 w. 67th st.,?,?,continental,27
55,cafe des artistes,1 w. 67th st.,?,?,?,?
56,carmine's,2450 broadway  between 90th and 91st sts.,new york,?,italian,28
57,carmine's,2450 broadway,?,212-362-2200,?,?
58,carnegie deli,854 7th ave.  between 54th and 55th sts.,?,212/757-2245,?,?
59,carnegie deli,854 seventh ave.,new york city,212-757-2245,?,29
60,chanterelle,2 harrison st.  near hudson st.,?,?,american,?
61,chanterelle,2 harrison st.,new york city,?,?,30
62,daniel,20 e. 76th st.,?,212/288-0033,french,?
63,daniel,20 e. 76th st.,?,?,?,31
64,dawat,210 e. 58th st.,new york,?,asian,32
65,dawat,210 e. 58th st.,?,?,?,32
66,felidia,243 e. 58th st.,new york,?,?,33
67,felidia,243 e. 58th st.,?,?,italian,?
68,four seasons grill room,99 e. 52nd st.,new york,?,?,34
69,four seasons,99 e. 52nd st.,?,?,american (new),34
70,gotham bar & grill,12 e. 12th st.,new york,212/620-4020,?,?
71,gotham bar & grill,12 e. 12th st.,?,?,?,35
72,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,american,36
73,gramercy tavern,42 e. 20th st.,?,?,american (new),?
74,island spice,402 w. 44th st.,new york,?,?,?
